StarNumber	20r	20i	20r-20i	E	22r	22i	22r-22i	mean r-i	22b	22v	22b-22v	M	20b	20v	20b-20v	Q	catalogue v	catalogue b-v	catalogue b	U	catalogue v - 22v	catalogue v - 20v	X	catalogue b - 22b	catalogue b - 20b	22v-20v
1	7.7356	7.3449	0.39064		7.8971	7.5749	0.3222	0.35642	9.1335	8.3678	0.76573		9.0678	8.306	0.76179		8.23	0.72	8.95		-0.13782	-0.075986		-0.18355	-0.11778	0.061836
2	8.7172	8.0302	0.68702		8.8658	8.2417	0.62411	0.65556	10.919	9.6133	1.306		10.876	9.56	1.3163		9.43	1.31	10.74		-0.18328	-0.13002		-0.17932	-0.13635	0.053257
3	8.7524	7.9619	0.79048		8.8938	8.1677	0.72616	0.75832	11.214	9.7062	1.5082		11.17	9.6803	1.4901		9.68	1.51	11.19		-0.026208	-0.00029469		-0.02445	0.019586	0.025913
4	8.9084	8.1419	0.76652		9.0337	8.3299	0.70388	0.7352	11.265	9.8323	1.4331		11.249	9.8094	1.4397		9.7	1.43	11.13		-0.13228	-0.10937		-0.13533	-0.11907	0.022903
5	8.8767	8.2018	0.67493		8.9901			0.67493	11.007				10.99	9.7042	1.286		9.57	1.28	10.85			-0.13415		-0.15725	-0.14013	
6	8.9931	8.6721	0.321			8.8741		0.321		9.4704			9.9113	9.4156	0.49563		9.32	0.44	9.76		-0.15042	-0.095644			-0.15127	0.054777
7					9.2879					10.005							9.8	1.41	11.21		-0.20468					
8	9.1737	8.8704	0.30325		9.3056	9.0476	0.25798	0.28061	10.107	9.6191	0.48794		10.072	9.5979	0.47411		9.48	0.45	9.93		-0.13907	-0.11786		-0.17701	-0.14197	0.021213
9	9.2607	9.0193	0.24148		9.4124	9.2506	0.1618	0.20164	10.095	9.7027	0.39263		10.048	9.6237	0.42425		9.49	0.34	9.83		-0.21269	-0.13369		-0.26532	-0.21794	0.079005
10	9.3125	9.0667	0.24581		9.4361	9.2725	0.16365	0.20473	10.094	9.7211	0.37267		10.06	9.6684	0.39188		9.56	0.35	9.91		-0.16113	-0.10835		-0.1838	-0.15023	0.052782
11	9.3842	9.0815	0.30275		9.5733	9.3384	0.23491	0.26883	10.353	9.8827	0.47023		10.272				9.69	0.44	10.13		-0.19267			-0.2229	-0.14202	
12	9.4451	9.2205	0.22458		9.5787	9.4168	0.16184	0.19321	10.208	9.8341	0.3742		10.17	9.8062	0.36427		9.64	0.32	9.96		-0.19412	-0.16619		-0.24832	-0.21046	0.027926
13	9.4785	9.1958	0.28269		9.6181	9.401	0.21714	0.24991	10.314	9.9107	0.40372		10.272	9.8552	0.4166		9.72	0.37	10.09		-0.19068	-0.13518		-0.2244	-0.18178	0.055507
14	9.4924	9.2512	0.2412		9.61	9.4287	0.18128	0.21124	10.276				10.232	9.8495	0.38266											
15	10.229	8.2938	1.9347		10.276	8.4644	1.8113	1.873	13.557	11.715	1.8419		13.619	11.769	1.8502											-0.054585
