ObservedAt:	2006-08-21T03:35:53
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_20.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          746.17          459.15          3.1819          2.7025          2.9422          449.72       908244.81       974211.00       992572.68
          547.01          493.79          2.5403          2.2612          2.4007          439.63       176977.00       183791.70       185665.12
          462.53          523.01          2.5794          2.4136          2.4965          443.70       134594.87       142155.09       144145.72
          230.51          347.41          2.9507          2.7414          2.8460          458.13       122477.27       131443.88       134284.50
          112.14          420.22          3.3562          2.8977          3.1270          449.23       149464.46       163448.14       168661.85
          152.81          615.01          3.1236          2.8481          2.9859          454.40       415229.86       446414.70       456819.55
          957.99          389.36          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          500.13          376.02          2.6252          2.4656          2.5454          452.16       371718.07       388320.81       392864.39
          550.19          571.69          2.5750          2.3066          2.4408          442.78       380963.72       398248.63       403097.75
          369.34          409.04          2.6748          2.5088          2.5918          454.51       369396.68       388822.12       394571.10
          579.80          819.20          2.8967          2.9197          2.9082          446.11       296339.17       318680.98       325530.09
          479.34          571.97          2.6811          2.2645          2.4728          443.84       340863.63       353395.78       357018.76
          336.31          573.77          2.6909          2.4380          2.5644          450.29       300081.00       319832.08       326038.01
          586.29           96.74          3.2684          3.3232          3.2958          483.42       292755.91       322974.66       334054.88
          365.99          362.12          2.5930          2.5167          2.5549          453.87        14852.50        15438.71        15577.73
          700.75          685.87          2.9841          2.7007          2.8424          453.05       301085.76       318379.72       323336.23
          579.91          561.09          2.7930          2.2990          2.5460          442.79       310698.27       324415.85       328641.90
          457.25          309.79          3.0081          2.8195          2.9138          454.10       263022.96       279680.06       284696.31
           82.57          774.59          3.4327          3.0432          3.2380          453.51       295546.57       328741.78       341922.59
         1003.41          330.14          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          341.83          460.59          2.8298          2.5367          2.6833          453.16       203638.64       215814.87       219104.34
          757.35          281.79          3.0216          2.9370          2.9793          454.63       238477.51       259863.24       268086.48
          675.88          464.57          2.9179          2.6303          2.7741          449.44       265678.69       281998.44       286759.31
          447.66          738.48          2.8595          2.9613          2.9104          447.17       228758.54       244907.94       250309.41
          538.80          426.16          2.6933          2.3746          2.5340          444.99       260702.33       270844.47       273597.73
          359.37          497.77          3.0843          2.5413          2.8128          451.20       193205.52       203526.57       206395.14
          859.99          632.31          3.3488          3.0199          3.1843          458.22       189883.68       204303.52       208551.66
          495.84          628.79          2.6560          2.3162          2.4861          444.95       198557.78       206783.78       209205.31
          620.91          446.09          2.7192          2.3879          2.5536          444.45       186422.45       194183.09       196434.90
          922.64          603.09          3.4636          3.0795          3.2716          465.62       155952.38       171377.66       176137.56
          452.74          390.18          2.8944          2.5950          2.7447          450.09       173268.99       182146.86       184571.67
          201.84          648.05          3.0221          2.6129          2.8175          452.20       162964.32       173274.86       177136.19
          750.17          556.31          2.9210          2.5628          2.7419          446.07       165628.01       175479.47       178168.92
          413.30          887.70          2.8630          2.9564          2.9097          448.28        37122.37        39999.50        41044.04
          643.39          447.61          3.1682          2.5927          2.8805          448.54       174744.97       185168.20       187926.26
          256.87          476.71          2.8553          2.5114          2.6834          452.72       172719.59       182026.23       184991.05
          266.91          447.39          2.8530          2.5762          2.7146          452.50       161707.80       170733.20       173726.22
          266.48          447.23          2.9050          2.6152          2.7601          452.50       159626.64       170613.08       173890.83
          448.41          448.50          2.6619          2.4377          2.5498          447.10       157486.43       166343.95       168545.60
          813.39          680.80          3.2127          2.5920          2.9024          454.75        48536.52        52364.63        53441.00
          410.45          703.83          2.6420          2.4844          2.5632          445.70       117536.63       124345.27       126345.89
          380.24          369.92          2.8207          2.5292          2.6750          454.02       148251.88       155318.82       157431.92
          784.01          537.47          3.1134          2.7087          2.9111          452.83       138787.62       147387.77       150040.67
          484.91          477.43          2.5252          2.4291          2.4771          445.95       139663.68       144936.42       146225.15
          420.31          334.72          2.7572          2.6162          2.6867          451.20       110479.52       116666.21       119029.54
          438.58          422.62          4.2458          3.7524          3.9991          448.81       114169.46       132477.23       136996.34
          715.95          680.26          3.0112          2.7837          2.8975          453.03       126395.49       133539.07       135723.55
          695.69          175.66          2.8458          2.9747          2.9103          461.52        27659.56        29733.63        30296.41
          541.18          475.24          2.5203          2.3490          2.4347          442.53       116582.15       121522.23       122619.20
          320.87          254.70          3.4517          2.8872          3.1694          455.54        96572.63       103681.93       107346.57
          602.43          636.55          2.9082          2.3786          2.6434          443.10       104384.17       109112.35       110276.91
          522.94          596.38          2.5124          2.4223          2.4674          441.95       107510.68       111517.02       112548.29
          251.81          572.03          2.8268          2.4508          2.6388          452.93       108233.60       113753.13       115148.35
          154.70          402.61          3.1320          2.8953          3.0137          455.77       106185.07       115992.07       119196.55
          601.65          259.48          2.8218          2.7578          2.7898          451.05        77908.04        84319.99        86120.14
          874.92          572.51          3.5409          3.0410          3.2909          453.38        90510.87        99831.19       102579.53
          551.08          398.38          2.6047          2.4161          2.5104          446.50        92101.13        96490.50        97734.74
          932.55          979.31          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          946.84          629.03          3.5773          3.1530          3.3651          464.45        60607.95        66647.94        68487.49
          899.61          838.38          3.7168          3.6585          3.6876          469.13        83489.24        96584.54       101652.18
          812.31          169.48          3.2092          2.7160          2.9626          472.23        13960.60        15030.69        15297.52
          874.31          913.13          3.6513          3.4582          3.5547          466.48        65392.67        75035.53        80481.11
           46.09          248.02          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          399.39          966.28          5.7453          5.8209          5.7831            0.00            0.00            0.00            0.00
          455.04          598.32          2.7115          2.3603          2.5359          443.54        88043.84        92210.33        93228.76
          660.70          666.71          2.9842          2.9426          2.9634          450.26        78978.91        84165.55        85453.04
           41.05          872.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
