ObservedAt:	2006-08-23T03:41:12
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          746.16          459.15          4.2004          3.7190          3.9597          450.62       944390.44      1129498.02      1212948.81
          547.03          493.83          3.9562          3.6691          3.8126          445.10       563061.28       637193.32       661918.02
          462.62          523.05          3.8079          3.6128          3.7104          451.92       595408.02       677891.80       704882.11
          230.42          347.45          3.4649          3.4673          3.4661          452.54       543498.61       594113.95       610225.99
          111.96          420.20          3.5261          3.1831          3.3546          470.68       499638.77       557563.40       580048.39
          152.69          615.03          3.5375          3.4045          3.4710          456.19       326309.18       357580.25       368019.34
          957.73          389.58          3.9191          3.9860          3.9525          435.13       364929.00       433070.88       461526.49
          500.18          376.02          3.7122          3.6524          3.6823          453.50       271602.36       303150.40       313165.59
          550.25          571.70          3.9038          3.6604          3.7821          444.87       220791.30       251223.36       261619.65
          369.35          409.05          3.5659          3.6306          3.5983          455.19       225996.97       248883.86       256527.33
          579.81          819.16          3.6177          3.7419          3.6798          436.58       202903.08       232180.46       243921.37
          479.33          571.96          3.8503          3.6859          3.7681          448.64       197144.84       218241.11       225069.67
          336.29          573.68          3.7007          3.8128          3.7568          456.67       191282.64       217471.59       227776.31
          586.40           96.52          3.5054          3.8051          3.6552          479.27       179978.07       207994.91       220913.89
          365.91          362.30          3.5811          3.5559          3.5685          456.62       477583.74       524562.80       539248.36
          700.76          685.90          4.0404          4.1333          4.0868          439.56       166887.88       193605.91       203683.16
          579.94          561.09          4.0497          3.7033          3.8765          444.94       165661.56       188463.80       197101.23
          457.28          309.74          3.5969          3.7740          3.6854          452.66       178655.56       202432.03       210670.53
           83.07          774.68          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
         1003.41          330.14          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          341.81          460.59          3.4909          3.5466          3.5187          460.06       192414.69       217025.17       224803.41
          757.49          281.76          3.7735          3.7655          3.7695          445.77       159102.25       185810.10       198610.01
          675.92          464.57          3.9846          3.9861          3.9853          450.77       153404.80       181342.67       194060.53
          447.59          738.48          3.9326          3.8384          3.8855          444.62       154119.43       178914.02       189968.51
          538.89          426.15          3.8221          3.7190          3.7706          445.46       128097.11       143189.61       147854.97
          359.30          497.77          3.9151          3.7063          3.8107          456.91       116921.28       131844.79       137931.88
          859.93          632.27          4.0146          3.9683          3.9915          431.42       101613.46       117479.66       123352.50
          495.88          628.80          3.8767          3.6522          3.7645          446.36       107067.10       119910.60       124113.08
          621.02          446.09          3.8982          3.7446          3.8214          446.12       103254.96       117305.10       122138.55
          922.58          603.11          3.9607          3.9723          3.9665          426.31        97089.60       114060.88       120486.13
          452.83          390.23          3.6866          3.7260          3.7063          454.61       107739.90       120408.11       124127.85
          201.80          648.04          3.4831          3.3801          3.4316          449.65       117826.75       129173.33       133956.50
          750.19          556.37          3.9868          3.8530          3.9199          442.66        95216.77       110835.29       116929.43
          413.20          887.61          3.8011          3.6482          3.7246          438.78       161660.90       184483.60       193045.30
          643.42          447.59          4.0879          3.8935          3.9907          447.41        89895.48       105669.63       111578.56
          256.90          476.73          3.5853          3.3489          3.4671          457.22        98974.37       107745.40       110751.44
          266.90          447.34          3.5343          3.3850          3.4596          457.74       100426.61       110751.11       114564.18
          266.28          447.08          3.6441          3.5027          3.5734          457.74       100123.52       110664.15       114560.53
          448.47          448.52          3.6438          3.5717          3.6078          450.90        92450.21       103582.19       107212.83
          813.30          680.71          4.0236          3.7338          3.8787          429.39       116265.80       135960.87       145407.43
          410.45          703.82          3.7415          3.6386          3.6901          445.42        96984.04       110165.85       114639.27
          380.23          369.92          3.5947          3.6156          3.6052          456.41        88617.56        96986.56        99681.40
          784.07          537.46          4.0178          3.8391          3.9284          428.05        71930.67        83370.17        88182.51
          484.92          477.41          3.7668          3.7402          3.7535          450.18        77235.55        85718.44        88206.58
          420.47          334.69          3.9085          3.7063          3.8074          452.85        86004.64        96839.15       102726.36
          438.67          422.67          4.3791          4.0843          4.2317          452.68        64934.97        81291.12        88542.28
          715.94          680.23          4.0316          3.9918          4.0117          439.55        71175.85        82238.38        86126.40
          695.69          175.57          3.6825          3.8609          3.7717          454.39       114829.38       131301.42       137399.40
          541.20          475.31          3.7830          3.7817          3.7824          449.99        68210.95        77118.52        79976.04
          320.79          254.66          4.3267          3.4465          3.8866          460.65        75812.47        84996.90        90765.93
          602.43          636.59          4.0669          3.7267          3.8968          444.48        69339.44        79144.08        82281.68
          522.94          596.37          3.7806          3.8086          3.7946          443.83        62952.64        70405.02        72814.49
          251.83          572.06          3.6188          3.4163          3.5176          452.63        68595.39        75191.98        77925.33
          154.69          402.58          3.3825          3.1983          3.2904          452.04        64765.59        72334.36        74728.51
          601.74          259.44          3.8254          3.8479          3.8366          445.81        67232.52        77540.62        81518.55
          874.90          572.47          3.9911          3.9825          3.9868          429.82        57021.70        66088.25        69584.75
          551.11          398.43          3.8713          3.7761          3.8237          446.04        58072.40        65948.48        68362.18
          932.55          979.31          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          946.74          628.98          3.9977          3.8920          3.9448          425.37        61016.46        70888.21        74177.07
          899.44          838.50          4.1164          4.6804          4.3984          413.70        49137.69        59495.89        64829.91
          812.10          169.64          3.7800          3.7720          3.7760          450.19        91210.00       105796.41       112610.20
          874.15          912.97          3.7042          3.6277          3.6660          423.95        52320.23        59134.72        61859.12
           46.09          248.02          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          399.21          966.28          3.6616          3.6327          3.6471          440.71        92598.18       105205.34       110029.60
          455.11          598.36          3.5917          3.5145          3.5531          448.06        52409.10        59325.24        61629.07
          660.75          666.69          4.1805          4.2634          4.2219          438.61        49444.43        58995.04        62342.09
           41.05          872.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          601.48          308.20          3.9671          3.9093          3.9382          442.96        55400.19        62722.28        65766.69
          781.72          426.13          3.9516          3.9932          3.9724          433.48        59211.03        68679.83        71935.77
          215.52           77.10          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          787.30          652.17          4.0814          3.7664          3.9239          429.93        70112.71        82881.19        89936.43
          228.43          627.34          3.4616          3.5654          3.5135          455.96        55684.13        63262.53        66506.15
          625.25          611.11          3.8017          3.6519          3.7268          444.52        45123.86        51988.23        54487.17
          721.34          289.11          3.9590          3.7786          3.8688          441.72        48734.65        55269.87        57576.93
          265.08          351.22          3.5118          3.5334          3.5226          454.72        50627.38        55616.31        57343.65
          456.89          500.92          3.6823          3.6780          3.6801          452.01        44985.62        49798.19        51244.26
          508.77          501.04          3.7220          3.6393          3.6806          452.43        42199.86        47026.04        48354.79
          395.72          124.32          3.3669          3.6177          3.4923          478.50        46127.45        51888.81        54157.44
          757.34          209.86          3.6707          3.7212          3.6959          449.06        40074.85        45710.37        47817.22
          858.45          616.25          3.9586          3.8106          3.8846          431.43        37560.84        43593.90        46126.67
           58.80          925.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          410.20          319.77          3.5983          3.7817          3.6900          452.70        90124.43       101633.89       105410.12
          329.82          622.91          3.7247          3.4147          3.5697          453.13        41212.63        45811.28        47413.28
           99.06          657.47          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          127.02          183.27          3.3199          3.3370          3.3284          492.20        48421.65        53013.88        54277.83
          364.56          465.35          3.8116          3.3888          3.6002          459.89        37246.04        41844.20        43626.64
          685.83          414.96          3.8709          3.8655          3.8682          443.28        38907.68        44320.86        46241.55
          854.06          600.89          3.9342          4.3290          4.1316          429.67        33106.44        39510.68        42652.98
          427.22          148.60          3.3125          3.7134          3.5129          466.62        65820.58        75017.31        79574.36
          401.91          180.72          3.4185          3.6034          3.5110          460.01        39383.27        44298.52        46565.03
          540.22          453.56          3.8305          3.7736          3.8021          449.99        32785.30        37919.45        39843.41
          750.20          586.08          3.9879          3.6951          3.8415          439.16        51533.82        59902.40        63243.69
          829.74          910.15          3.7507          3.8995          3.8251          424.32        29774.80        34405.67        36324.49
          698.75          307.47          3.9197          3.8522          3.8860          440.66        32367.07        37489.01        39116.46
          420.40          857.43          3.5872          3.8659          3.7265          439.85        38590.22        44574.26        47366.78
          679.33          172.34          3.7211          3.8856          3.8034          454.43        50969.49        58407.16        61501.07
          130.75          850.47          3.4163          3.5329          3.4746          446.14        34387.21        39400.08        42136.23
          403.65          941.22          3.7022          3.6512          3.6767          436.87        54474.13        63427.81        68551.76
          568.43          337.38          3.8390          3.8009          3.8199          444.91        33305.59        38037.15        40057.27
          490.31           47.04          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          832.69          613.19          4.0794          4.1529          4.1161          431.58        28650.63        33681.49        36089.98
          738.35          695.65          4.0580          4.4492          4.2536          439.53        29770.76        36124.38        41411.89
          786.34          181.19          3.7344          3.7614          3.7479          450.17        44852.50        51387.11        53925.36
          509.81          179.40          3.5027          3.8952          3.6989          459.59        34557.10        38665.78        39982.88
          808.40          973.97          7.4630          4.2751          5.8690            0.00            0.00            0.00            0.00
          674.32          800.72          4.9157          3.8777          4.3967          423.43        27569.27        32686.06        35516.69
          145.74           67.64          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          267.08          479.97          3.4563          3.1667          3.3115          458.98        31501.15        34253.15        34896.07
          472.56          242.69          3.3182          3.5997          3.4589          455.48        30983.02        35042.94        36206.88
          676.37          569.38          4.4818          3.7375          4.1097          442.76        26080.54        30748.55        33612.93
          574.07           80.25          5.5313          4.2819          4.9066            0.00            0.00            0.00            0.00
          489.00          571.48          3.7086          3.7356          3.7221          448.62        54115.88        62023.09        64838.62
          521.09          626.42          3.5591          3.9500          3.7546          444.31        24396.67        27778.39        29512.41
          652.39          157.35          3.7272          3.8666          3.7969          455.39        26143.75        29917.37        31241.28
          646.34          704.44          4.0606          4.1921          4.1264          435.61        28851.80        34478.84        37239.57
