star	20b	20v	20r	20i	22v	22r	22i	20r-20i	22r-22i	mean r-i
1	9.066399197491743	8.288129424785359	7.72550857714789	7.348462807987259	8.37328670585197	7.907150051104685	7.617916828584512	0.37704576916063104	0.28923322252017236	0.3331394958404017
2	10.87976608740696	9.554978988592714	8.71442970161841	8.02083864708758	9.606041919241871	8.869062779159984	8.240756127200923	0.693591054530831	0.6283066519590612	0.6609488532449461
3	11.159067402484895	9.681847291860516	8.751803764462363	7.9619000126255735	9.712814280759243	8.893800000137691	8.173392213638873	0.7899037518367891	0.7204077864988179	0.7551557691678035
4	11.244242243947422	9.808152705210802	8.913927467039715	8.139908837963123	9.831822738747599	9.022652158091567	8.316919203123442	0.7740186290765916	0.7057329549681253	0.7398757920223584
5	11.007310156572407	9.714822874551027	8.895847328484555	8.206589147877734	9.73052149835743	9.003327450836446	8.386002530063777	0.6892581806068208	0.6173249207726688	0.6532915506897448
6	9.914878261499513	9.416714468135151	9.007589269081182	8.677087025647621	9.45438421825685	9.124938884924912	8.869315976494917	0.3305022434335605	0.255622908429995	0.29306257593177776
7					10.014802539614976	9.297229318869189	8.66091613310317		0.6363131857660189	0.6363131857660189
8	10.066460897038649	9.579008047533163	9.162701098282225	8.851756659804439	9.609996346708575	9.296888243132791	9.04898047292136	0.31094443847778663	0.24790777021143207	0.27942610434460935
9	10.039013249833362	9.629112428140875	9.258337659961608	9.013325455277526	9.703667437607772	9.407362357238284	9.253403660493483	0.24501220468408214	0.15395869674480167	0.1994854507144419
10	10.06505817777334	9.660092036090214	9.302675083392987	9.060675334899178	9.69896594117915	9.429970594685104	9.263583182188084	0.241999748493809	0.16638741249701994	0.20419358049541447
11	10.281349268330064	9.793747306137417	9.3964606485026	9.076936831082827	9.887174865686923	9.588369997899314	9.339169055185428	0.319523817419773	0.2492009427138857	0.28436238006682935
12	10.168928199890317	9.784798614549059	9.436819078759726	9.207450274493008	9.823052999153399	9.573368804500772	9.40653281618119	0.22936880426671813	0.16683598831958157	0.19810239629314985
13	10.27742906156523	9.84405971292938	9.467740922773741	9.202029496964599	9.888191946886208	9.609767624635596	9.410375940413951	0.2657114258091422	0.199391684221645	0.2325515550153936
14	10.266798049415861	9.860404347837354	9.511429132455262	9.259016231941475	9.885416446238445	9.627346600201689	9.45885196084717	0.2524129005137876	0.16849463935451858	0.2104537699341531
15	13.572838960284441	11.753213307234539	10.226337778620211	8.283078630082498	11.707201900764561	10.272387523122902	8.452383392449002	1.943259148537713	1.8200041306738992	1.8816316396058061
16	10.282377582744708	9.883152951478674	9.531406916306246	9.294031808016728	9.958398947469872	9.685121662763088	9.536850459375598	0.2373751082895179	0.14827120338748934	0.19282315583850362
17	10.261957207921485	9.893684249943442	9.55045774591628	9.336126927710096	9.95459690082403	9.709624926041197	9.566138428432035	0.21433081820618405	0.1434864976091621	0.17890865790767307
18	10.42328538806409	9.956549853148925	9.57020003964926	9.281018316761413	9.994681466567647	9.70512112176669	9.488347389201616	0.2891817228878466	0.21677373256507337	0.25297772772646
19	10.24755486764932	9.851856155030255	9.529957577209284							
20										
21	10.705131928336177	10.050895123001382	9.555052376728682	9.213063893806815	10.095134170139938	9.683541294151013	9.41261168162847	0.3419884829218667	0.27092961252254355	0.3064590477222051
22	10.503189347146241	10.017222430828506	9.616412565252556	9.3215921883668	10.089091774414873	9.791604271833894	9.58156728844765	0.294820376885756	0.2100369833862441	0.25242868013600006
23	10.414309766737881	9.996325018001672	9.628697375318174	9.373487446113717	10.05576387300116	9.779113668497333	9.608045988551577	0.2552099292044563	0.17106767994575556	0.21313880457510592
24	10.567634897532118	10.089910316090547	9.6998372026344	9.393514568511595	10.146711403837143	9.848651740685657	9.622715773111452	0.3063226341228056	0.22593596757420542	0.2661293008485055
25	10.458188279576815	10.137958104006753	9.822987231198685	9.647855299393575	10.180241922266012	9.966852461932595	9.865055176959698	0.17513193180510989	0.10179728497289631	0.1384646083890031
