ObservedAt:	2006-08-23T03:25:12
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          746.11          459.15          3.5449          3.0776          3.3112          657.59      1805743.55      2018613.83      2094851.01
          547.01          493.77          3.2441          2.9806          3.1123          650.85       783092.78       834791.33       849643.66
          462.61          523.01          3.1264          2.9934          3.0599          661.91       759105.03       816048.95       830883.49
          230.44          347.37          2.7612          2.8129          2.7870          665.28       698880.02       725016.88       733962.56
          112.06          420.15          2.9307          2.6873          2.8090          668.52       696685.79       737992.74       752552.58
          152.71          615.10          2.8597          2.8683          2.8640          664.28       631143.97       660040.49       669743.02
          957.62          389.64          3.5286          3.4922          3.5104          633.34       503098.72       563488.97       581822.21
          500.14          375.98          2.9527          2.8871          2.9199          664.47       537356.08       563665.42       571167.35
          550.21          571.69          3.2002          2.9929          3.0965          653.35       474853.45       509307.27       519341.52
          369.35          409.00          2.7903          2.8496          2.8199          663.96       478791.73       498846.46       505181.02
          579.75          819.26          2.9976          3.2764          3.1370          632.41       392770.46       431339.79       445752.62
          479.33          571.95          3.1151          3.0081          3.0616          658.07       416887.61       437320.55       443324.37
          336.29          573.76          2.9435          3.0513          2.9974          665.53       395964.58       422950.13       430092.79
          586.28           96.58          3.0421          3.2373          3.1397          679.55       379638.80       416179.94       430120.24
          365.89          362.17          2.9619          2.9430          2.9525          664.34       220279.41       230212.91       233018.89
          700.71          685.87          3.3896          3.3816          3.3856          640.36       363370.69       394683.15       403952.51
          579.92          561.09          3.3591          3.0194          3.1892          653.28       359051.17       385904.76       395185.68
          457.27          309.72          2.9265          3.0463          2.9864          661.68       363219.53       387503.49       394474.58
           83.07          774.68          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
         1003.41          330.14          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          341.83          460.58          2.8377          2.8664          2.8521          668.53       372454.60       395256.13       401320.04
          757.32          281.81          3.2501          3.1751          3.2126          648.15       325890.24       357930.18       370435.42
          675.89          464.56          3.3830          3.2874          3.3352          657.02       328750.22       362057.72       373726.07
          447.62          738.56          3.6294          3.3431          3.4863          649.15       302629.55       339668.93       349479.07
          538.82          426.13          3.1216          2.9487          3.0351          654.68       290534.09       304743.20       308992.76
          359.36          497.76          3.1808          3.0100          3.0954          665.28       245359.25       259311.09       264287.48
          859.89          632.29          3.4572          3.4329          3.4451          629.65       217177.05       236480.19       242025.27
          495.85          628.83          3.2134          3.0405          3.1269          653.44       232634.83       246654.96       250765.54
          620.95          446.07          3.2149          2.9787          3.0968          654.83       223669.45       237845.42       242114.60
          922.52          603.09          3.4393          3.4506          3.4450          623.99       202778.09       224786.40       231101.09
          452.77          390.15          3.0025          2.9676          2.9850          665.52       229728.86       240136.84       243072.38
          201.79          648.12          2.8354          2.7893          2.8124          658.51       232168.30       243924.55       249565.85
          750.12          556.33          3.3383          3.1993          3.2688          648.06       201746.47       220134.15       225734.60
          413.14          887.82          3.1601          3.1790          3.1696          637.41       205124.51       222158.90       227762.60
          643.39          447.59          3.4786          3.2543          3.3664          653.59       197116.79       216563.97       222250.26
          256.86          476.69          2.7981          2.6792          2.7387          666.44       213573.00       221324.00       224045.35
          266.89          447.33          2.7434          2.6670          2.7052          665.65       210598.63       219583.08       222763.02
          266.42          447.14          2.8258          2.7887          2.8073          665.65       210587.82       219857.43       222700.73
          448.43          448.47          2.8581          2.8670          2.8626          662.93       202903.61       215308.28       218721.65
          813.25          680.75          3.4547          3.2425          3.3486          623.14       175279.33       193542.33       200470.56
          410.43          703.90          2.9759          3.0769          3.0264          652.11       193017.99       206884.78       211019.37
          380.25          369.88          2.8579          2.8227          2.8403          664.41       187258.92       194358.09       196637.61
          783.96          537.48          3.3257          3.2356          3.2807          628.14       157688.47       171255.72       176112.11
          484.92          477.39          2.9961          3.0568          3.0265          661.86       167394.78       175173.75       177292.91
          420.40          334.64          3.0349          2.9122          2.9735          661.02       167693.33       177578.03       182992.51
          438.66          422.64          4.0380          3.6584          3.8482          664.45       142029.20       168159.78       175594.28
          715.90          680.24          3.4056          3.4406          3.4231          640.36       151877.50       164844.41       168908.09
          695.57          175.61          3.1141          3.2613          3.1877          655.62       150527.64       162985.93       166562.03
          541.19          475.24          3.0746          3.0106          3.0426          655.59       147187.13       155878.71       158457.59
          320.80          254.60          3.6033          2.7469          3.1751          667.04       152426.97       161152.08       168148.11
          602.43          636.56          3.4595          3.1043          3.2819          650.95       141168.30       152008.35       154692.62
          522.94          596.39          3.0955          3.1959          3.1457          650.43       135022.08       143299.20       145748.91
          251.79          572.07          2.8171          2.7585          2.7878          661.78       142756.64       149165.77       151709.36
          154.66          402.55          2.7356          2.6684          2.7020          666.08       139572.51       148126.41       150840.30
          601.65          259.43          3.1792          3.0925          3.1359          651.57       127153.65       137129.26       139853.36
          874.84          572.49          3.4627          3.4034          3.4330          629.19       117083.11       127615.27       130705.75
          551.09          398.37          3.0728          2.9804          3.0266          653.03       123802.83       130852.61       132708.24
          932.55          979.31          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          946.71          629.03          3.5507          3.4108          3.4807          621.27       111682.17       122496.90       125536.71
          899.46          838.46          3.4587          3.4736          3.4661          581.23       101555.85       112171.08       117702.30
          811.96          169.66          3.2723          3.2161          3.2442          648.95       106400.30       116487.05       120282.48
          874.13          913.07          3.1079          2.9999          3.0539          606.50        95015.43       103047.98       106262.57
           46.09          248.02          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          399.29          965.25          5.3976          3.4729          4.4352            0.00            0.00            0.00            0.00
          455.05          598.34          2.8678          2.9982          2.9330          655.07       111533.97       119866.36       122208.08
          660.67          666.68          3.5644          3.6035          3.5839          639.91       100770.40       111790.27       114533.34
           41.05          872.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          601.44          308.19          3.2786          3.0292          3.1539          651.32       108302.73       114295.58       116411.03
          781.64          426.13          3.4162          3.3304          3.3733          632.82        98937.47       108062.26       110507.42
          214.64           77.05          2.7139          2.9507          2.8323          741.31       114090.09       120061.58       121933.59
          787.25          652.17          3.5004          3.2623          3.3813          624.56        94949.66       106396.75       112283.32
          228.37          627.39          2.7291          2.9557          2.8424          664.33       105804.88       113348.41       116044.38
          625.21          611.05          3.1748          3.0682          3.1215          650.82        96895.85       105666.57       108346.32
          721.25          289.13          3.3817          3.1334          3.2575          646.67        99501.00       106367.29       108477.33
          265.06          351.14          2.7986          2.8013          2.7999          662.47       103378.65       107261.99       108726.95
          456.89          500.89          2.9784          2.9411          2.9597          662.83        94212.07        98561.74        99796.85
          508.76          501.02          3.0737          3.0116          3.0426          662.58        92036.86        96885.69        98141.82
          395.64          124.31          2.7594          3.0550          2.9072          679.77        94201.13       100473.45       102587.01
          757.19          209.87          3.1856          3.0520          3.1188          650.52        83297.98        89514.19        91569.59
          858.40          616.27          3.4059          3.2142          3.3100          629.65        75919.01        83067.03        85444.99
           58.80          925.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          410.14          319.41          3.2664          3.5509          3.4087          661.44        11150.36        11894.54        12267.34
          329.78          622.93          2.8877          2.8457          2.8667          660.09        85383.69        89957.60        91539.56
           98.60          657.98          3.0302          3.3235          3.1769          658.30        84783.26        92340.42        96074.94
          127.00          183.17          2.8348          2.8834          2.8591          700.53        92045.90        96004.25        97196.57
          364.49          465.32          2.7754          2.7972          2.7863          668.42        81982.84        85314.54        86262.96
          685.78          414.93          3.3517          3.2385          3.2951          649.02        79315.26        85178.47        87076.63
          854.03          600.86          3.4681          3.8306          3.6494          627.02        68494.87        77500.75        80848.61
          427.23          148.56          2.6174          3.1656          2.8915          671.48        72770.22        78757.27        81731.85
          401.89          180.68          2.7487          2.9074          2.8281          665.67        79046.64        84087.67        86426.86
          540.19          453.56          3.1126          3.1105          3.1116          655.60        70195.79        76335.23        78242.29
          750.17          586.06          3.4158          3.0589          3.2374          642.14        66885.53        72987.89        74925.90
          829.70          910.18          3.3036          3.2100          3.2568          606.87        60161.87        66109.29        68241.29
          698.67          307.46          3.3469          3.1821          3.2645          646.32        67332.21        73626.17        75134.37
          420.37          857.59          3.3939          3.3027          3.3483          637.94        67816.91        74873.96        77037.45
          679.27          172.36          3.2734          3.2398          3.2566          655.66        67385.60        72436.93        74461.54
          130.77          850.69          3.0054          3.0407          3.0230          651.35        71301.80        76862.38        79567.88
          403.56          941.41          3.0934          3.3700          3.2317          632.90        56242.15        64224.03        68612.18
          568.35          337.35          3.0533          2.9998          3.0265          652.29        65878.30        69713.41        71090.75
          490.31           47.04          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          832.60          613.13          3.4302          3.4469          3.4386          629.69        60247.83        66686.21        68643.77
          738.48          695.41          3.2479          3.1900          3.2190          640.36        56831.69        62645.04        64810.53
          786.24          181.22          3.2765          3.1835          3.2300          648.99        61697.81        66537.73        68216.33
          509.77          179.43          2.9315          3.0900          3.0107          665.79        65081.28        68813.26        69841.71
          808.47          976.57          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          674.33          800.76          4.4616          3.3618          3.9117          617.32        55136.81        61711.63        65192.10
          145.71           71.77          7.4484          7.7614          7.6049            0.00            0.00            0.00            0.00
          267.10          479.96          2.8849          2.6224          2.7536          667.55        64648.30        67300.46        68336.39
