ObservedAt:	2006-08-23T03:04:41
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_10.0-0001.fit
	Total no of stars: 3745
	Radius of star diaphragm: 3, 4, 5
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 3      Star ADU 4      Star ADU 5
          746.36          459.27          3.2716          2.5615          2.9165          621.51      1488818.61      1640650.05      1701870.01
          547.09          493.80          2.9190          2.3200          2.6195          615.55       506991.59       530304.04       538378.50
          462.58          522.94          2.8499          2.3933          2.6216          626.89       458090.86       480886.01       488096.70
          230.14          347.64          2.6375          2.4391          2.5383          639.09       414527.75       431211.99       437681.99
          111.67          420.31          2.9433          2.3790          2.6611          646.00       437160.16       473147.73       487091.60
          152.44          614.82          2.7898          2.6064          2.6981          631.39       571799.43       609349.97       619949.55
          957.87          389.90          3.3628          3.0286          3.1957          609.86       339170.59       364658.61       374080.08
          500.08          376.22          2.7153          2.3779          2.5466          634.27       511031.25       528386.29       534796.38
          550.31          571.51          3.0131          2.4626          2.7378          614.61       457478.76       484932.74       494622.21
          369.17          409.17          2.6074          2.3283          2.4678          636.75       473339.89       487026.00       492390.30
          580.05          818.88          3.0273          2.9577          2.9925          610.00       384455.43       409889.90       419291.84
          479.36          571.78          2.9310          2.4455          2.6882          624.41       419187.79       434690.50       440339.10
          336.18          573.58          2.7753          2.5347          2.6550          631.11       389063.62       409508.14       415760.17
          586.15           96.89          2.9435          3.0220          2.9827          664.12       384849.87       410550.76       420230.57
          365.84          362.35          2.6923          2.3849          2.5386          637.26        74297.33        77359.09        78243.09
          701.05          685.62          3.2510          2.9758          3.1134          612.82       358111.22       383997.54       393409.94
          580.02          560.93          3.0841          2.4703          2.7772          614.50       364526.59       385337.44       393480.08
          457.13          310.04          2.8268          2.7123          2.7695          631.68       356200.37       371443.09       377073.28
           83.07          774.68          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
         1003.41          330.14          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          341.67          460.62          2.7265          2.3728          2.5496          638.00       324108.52       338784.84       344051.48
          757.43          282.14          3.0306          2.8549          2.9428          620.84       316878.32       340665.48       350360.00
          676.02          464.64          3.1598          2.6555          2.9076          621.48       331285.50       351227.65       359199.31
          447.73          738.20          3.1262          3.0692          3.0977          621.45       303076.14       323148.63       330145.94
          538.81          426.26          2.8222          2.3412          2.5817          622.12       302868.22       313372.68       317211.98
          359.24          497.72          3.0459          2.4264          2.7362          634.14       246168.87       255668.36       259606.31
          860.25          632.10          3.2639          2.9240          3.0940          603.99       222919.18       238701.14       244585.06
          495.91          628.55          2.9998          2.5566          2.7782          621.19       237272.88       249134.93       252849.13
          621.02          446.18          2.9420          2.3954          2.6687          621.83       222812.31       233817.40       237917.58
          922.89          602.96          3.2435          2.9173          3.0804          601.88       200976.40       214571.13       219741.80
          452.67          390.35          2.8499          2.5179          2.6839          634.27       224845.35       233899.41       237103.70
          201.59          647.84          2.7329          2.4265          2.5797          628.66       222963.57       232852.04       237544.71
          750.37          556.23          3.1468          2.6193          2.8830          612.05       201221.44       214893.11       220121.51
          413.32          887.42          2.9066          2.9005          2.9035          613.74       118925.63       128977.03       132859.59
          643.48          447.71          3.2555          2.5866          2.9211          619.10       206277.21       218318.97       222394.62
          256.65          476.72          2.6243          2.1988          2.4116          636.00       216144.93       223428.07       226409.10
          266.66          447.42          2.6433          2.2301          2.4367          636.74       206072.35       215678.63       218871.67
          266.23          447.25          2.6748          2.2691          2.4720          636.74       210477.15       216935.04       219170.44
          448.35          448.55          2.6560          2.3119          2.4840          630.94       205105.36       212371.02       214897.53
          813.61          680.54          3.3571          3.0082          3.1827          600.39       121375.73       130651.02       133909.31
          410.44          703.57          2.9151          2.6863          2.8007          621.23       173374.21       184293.14       187721.02
          380.07          370.09          2.7384          2.3497          2.5440          637.44       187457.39       193710.17       195896.20
          784.20          537.43          3.1380          2.6686          2.9033          603.33       159926.22       171903.03       177033.81
          484.89          477.42          2.6783          2.3673          2.5228          629.97       171424.03       176800.35       178644.03
          420.23          334.91          2.8639          2.5389          2.7014          632.61       156934.85       163053.76       166859.47
          438.54          422.74          3.9900          3.3627          3.6764          632.59       145389.80       166470.79       172101.96
          716.19          680.02          3.2343          2.9700          3.1022          612.85       149700.09       160370.30       164233.72
          695.62          175.88          3.0239          3.0640          3.0440          630.32        90913.26        97185.11        98889.33
          541.22          475.28          2.7818          2.3648          2.5733          621.98       147994.39       153860.42       156055.42
          320.60          254.87          3.2252          2.6034          2.9143          637.69       138315.47       146018.48       150728.60
          602.58          636.35          2.9916          2.8857          2.9387          614.43       133073.74       142906.29       145815.49
          523.01          596.17          2.9356          2.7090          2.8223          612.70       133282.92            0.00            0.00
          251.62          571.90          2.6421          2.2657          2.4539          630.08       139858.29       145084.79       147198.52
          154.36          402.71          2.6919          2.4432          2.5676          635.08       141272.91       147430.76       149533.72
          601.61          259.71          2.8006          2.8790          2.8398          622.44       115885.59       122284.78       124376.92
          875.12          572.44          3.2553          2.9057          3.0805          602.16       115780.24       123503.47       126596.20
          551.08          398.52          2.8194          2.3954          2.6074          622.40       121831.97       126449.77       127972.40
          932.55          979.31          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          947.05          628.88          3.3366          2.8810          3.1088          599.56        95188.13       101920.40       104436.28
          899.90          838.11          3.3918          3.3182          3.3550          576.17       106175.92       114896.27       118556.86
          812.15          169.81          3.0259          3.0377          3.0318          627.13        56793.17        61090.21        62461.92
          874.60          912.76          3.3513          3.0467          3.1990          593.68        93440.39       100664.22       103082.88
           46.09          248.02          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          399.34          966.12          3.0755          3.1683          3.1219          611.71        55374.49        60284.97        61858.59
          455.06          598.16          2.7627          2.4951          2.6289          622.40       113102.56       118126.82       119982.98
          660.90          666.48          3.1144          3.1734          3.1439          609.86       103492.57       109732.51       112002.26
           41.05          872.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          601.42          308.45          3.0241          2.6362          2.8302          622.64        99626.94       104547.39       106202.37
          781.81          426.25          3.0580          2.7311          2.8946          607.81        81401.04        86471.44        88171.63
          215.52           77.10          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          787.54          652.09          3.3030          3.0096          3.1563          603.13        60116.38        64677.18        67049.87
          228.21          627.19          2.6448          2.5216          2.5832          631.75       102332.72       106766.78       108830.03
          625.34          610.89          3.0261          2.5993          2.8127          614.45        95541.81       102590.51       105158.28
          721.32          289.38          3.1269          2.7569          2.9419          618.32        95760.98       101812.53       103832.15
          264.84          351.34          2.7343          2.5678          2.6511          636.21        98301.37       102828.85       104527.95
          456.86          500.87          2.7025          2.2860          2.4943          629.30        94481.55        97658.57        98830.85
          508.76          501.01          2.7665          2.3203          2.5434          629.41        94757.19        98077.35        99160.48
          395.43          124.56          2.6331          2.8528          2.7430          660.64        90322.06        95838.16        97868.59
          757.24          210.13          3.0187          2.8940          2.9563          624.89        81161.89        86541.63        88540.58
          858.67          616.15          3.1964          3.0225          3.1095          604.00        78215.43        83392.56        85136.27
           58.80          925.03          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          410.16          319.37          0.0000          4.3015          2.1508          632.07          905.64         1030.35         1056.98
          329.69          622.73          2.7835          2.4940          2.6387          628.70        84659.93        88590.79        90012.48
          103.18          657.46          6.7562          7.5096          7.1329            0.00            0.00            0.00            0.00
          126.64          183.40          3.0110          2.7147          2.8629          688.93        81298.98        87868.89        89777.22
          364.37          465.35          2.5740          2.1987          2.3864          638.19        83855.89        86030.61        86826.37
          685.85          415.05          2.9625          2.6159          2.7892          617.87        75281.34        79058.56        80160.05
          854.28          600.76          3.2328          3.4461          3.3395          603.28        65774.33        73891.63        77039.10
          427.21          148.68          2.5566          2.8677          2.7122          646.61        38736.31        40843.23        42073.30
          401.71          180.91          2.7818          2.7806          2.7812          638.03        74835.37        79529.48        81309.32
          540.18          453.63          2.8332          2.3794          2.6063          621.98        71354.48        74905.95        76047.58
          750.39          585.99          3.2304          2.4295          2.8300          611.45        40124.44        43533.81        44803.44
          830.08          909.89          3.2495          3.0325          3.1410          593.96        62651.33        67701.03        69406.02
          698.72          307.67          3.0055          2.8696          2.9375          617.67        67256.01        71206.34        72675.91
          420.48          857.29          2.9806          3.0850          3.0328          615.20        56303.17        60854.78        62577.42
          679.33          172.50          2.8158          3.1405          2.9781          630.34        41237.63        44085.60        45178.77
          130.66          850.35          2.8267          2.7974          2.8121          625.15        67020.02        73211.72        75867.34
          403.61          941.21          2.9886          3.1302          3.0594          610.93        31075.48        33466.93        34752.66
          568.33          337.55          2.6824          2.5472          2.6148          623.43        61524.24        64666.27        65779.21
          490.31           47.04          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          832.86          613.03          3.2913          2.8762          3.0837          604.07        59977.83        64336.19        65772.51
          738.71          695.22          3.0926          3.0920          3.0923          612.94        57525.02        61604.55        63166.34
          786.36          181.36          3.0461          2.9984          3.0222          626.98        38238.96        41519.94        42447.44
          509.68          179.63          2.6749          2.9225          2.7987          637.74        57631.96        61613.80        62993.54
          808.62          975.56          5.4953          3.4922          4.4938            0.00            0.00            0.00            0.00
          674.56          800.52          4.0661          3.2288          3.6474          597.72        51889.80        57865.83        60757.24
          145.74           67.64          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          266.94          479.97          2.8559          2.1130          2.4844          636.59        61853.24        64417.40        65231.76
          472.43          242.87          2.6745          2.7231          2.6988          631.34        53320.21        55364.98        55751.25
          676.58          569.23          3.1448          2.8413          2.9930          612.16        50909.09        54842.33        57204.07
          574.11           82.37          7.1456          6.2424          6.6940            0.00            0.00            0.00            0.00
          489.00          571.53          3.5237          2.3689          2.9463          624.43        16989.55        17868.64        18264.57
          521.13          626.24          2.8429          2.6502          2.7465          614.26        52768.49        55261.51        56396.26
          652.30          157.53          3.0497          3.1258          3.0877          634.25        53783.19        57025.96        58118.16
          646.15          704.29          6.0750          7.3326          6.7038          609.00          302.04          322.11          371.84
          309.21          390.08          2.7849          2.4193          2.6021          636.64        31648.56        32627.37        32846.40
          486.14          514.70          2.7321          2.3668          2.5494          626.92        51508.85        53712.43        54419.82
          160.96          542.04          2.7450          2.2448          2.4949          629.66        52368.04        54440.58        55271.36
          690.00          769.69          3.2423          3.1589          3.2006          600.26        45188.31        48798.11        49944.30
          402.98          363.47          2.8215          2.5534          2.6875          634.65        45417.20        47766.18        48479.17
          492.32          551.22          2.8516          2.3965          2.6240          624.44        48275.01        50143.44        50576.29
          305.15          445.91          2.6501          2.2312          2.4407          636.01        51249.84        52710.20        53290.63
          895.91          613.77          3.2138          2.9679          3.0908          601.84        44293.54        47334.67        48167.26
          581.29          705.46          3.0257          3.0399          3.0328          612.92        46560.14        49955.77        51295.79
          935.35          683.56          3.4094          2.9672          3.1883          598.27        37230.20        41785.27        43674.44
          714.09          630.75          3.1615          2.8689          3.0152          610.75        42016.61        44977.19        45794.50
          961.32          591.73          3.2332          2.6841          2.9586          601.68        40941.87        44748.32        46068.01
          720.64          486.41          3.1705          2.9494          3.0599          613.28        29254.99        30932.23        32028.59
          723.66          435.36          3.0533          2.6412          2.8472          618.14        46392.40        48985.79        49607.85
          397.47          653.39          2.8159          2.7584          2.7871          620.78        48095.68        50049.42        50758.89
          310.51           44.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          993.09          723.88          3.1455          2.9924          3.0689          598.97        20397.87        22059.48        22535.34
          943.47          577.73          3.4348          2.6995          3.0672          601.42        41045.28        44446.96        45644.30
          406.99          450.67          2.7403          2.2817          2.5110          630.08        45002.22        46517.51        46956.47
           73.33          119.07          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          109.72          862.36          7.6490          7.4779          7.5635            0.00            0.00            0.00            0.00
          495.54          672.54          3.0462          2.9285          2.9874          620.79        40597.97        43908.75        44823.76
          456.32          301.77          2.9997          5.3266          4.1631          631.68        40638.13        43634.30        48721.47
           18.93          839.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          217.21          645.53          3.4816          2.5429          3.0123          628.64        42426.65        45210.26        46157.31
          432.19          809.73          2.9466          2.9347          2.9406          618.35        40524.81        43176.43        43891.18
          796.64          135.86          3.0597          3.2524          3.1560          635.25        39581.95        42769.37        43576.11
          913.38          550.14          3.2780          2.6414          2.9597          600.03        22712.65        24354.55        24900.88
           46.61          647.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          528.37          629.87          2.9989          2.6568          2.8278          614.26        42488.74        45139.33        46720.82
          671.90          444.92          3.1549          3.3099          3.2324          618.01        36752.90        39885.51        42919.08
          674.92          392.56          3.0985          2.7712          2.9349          617.68        40819.29        43092.82        44098.98
          219.84           53.11          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          185.22          624.62          2.9853          2.5445          2.7649          631.59        30025.30        32381.30        35674.04
          234.49          492.85          2.7671          2.3111          2.5391          630.51        42123.79        43576.09        44159.32
          185.23          624.62          2.9961          2.5445          2.7703          631.59        30025.30        32381.30        35674.04
          177.09          328.43          3.3134          3.1716          3.2425          639.01        33328.60        37460.30        39596.16
          354.48          684.68          2.7717          2.7594          2.7655          625.40        38942.37        41191.40        42012.03
          303.35          880.75          2.8087          2.8579          2.8333          620.75        35434.65        37738.30        38196.59
          196.25          574.42          2.5804          2.2649          2.4227          629.75        32172.27        33339.39        33637.06
          438.31          825.25          2.8512          2.8862          2.8687          618.35        35391.57        37714.16        38631.26
          259.95          284.87          2.6803          2.5561          2.6182          636.29        34400.60        35752.33        35979.04
          255.53          670.38          2.4677          2.4962          2.4820          626.80        22759.61        24192.45        24735.22
          644.28          342.92          2.8025          2.6300          2.7163          619.48        36223.07        38246.42        39126.30
          816.27          895.15          3.1383          3.2291          3.1837          593.60        34379.87        37353.06        38383.61
          260.27          285.00          2.9797          2.4903          2.7350          636.28        34400.73        35757.06        36010.91
           53.34          821.88          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          716.74          744.65          3.4285          3.0642          3.2464          602.80        28897.87        31196.20        32045.60
          755.29          324.90          3.0339          2.8558          2.9448          619.38        33919.20        35803.76        36344.63
          429.36          702.15          2.8273          2.7012          2.7643          621.12        36719.38        38570.31        39254.64
          790.14          593.22          3.1472          2.9425          3.0449          603.41        30450.78        32547.05        33433.41
          457.23          253.13          2.8401          2.7133          2.7767          631.29        34833.30        36218.08        36802.18
          671.39          469.56          3.2540          2.7966          3.0253          621.50        18156.70        19785.36        27401.38
           41.04          719.92          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          537.78          238.26          2.8206          2.9117          2.8662          625.60        30848.01        32568.51        33106.09
          773.83          918.32          3.1548          3.5145          3.3347          594.10        31168.99        33317.49        33826.15
          445.33          649.80          2.7745          2.5885          2.6815          620.68        31127.57        32703.29        33116.43
          412.56          771.70          5.4795          5.4789          5.4792            0.00            0.00            0.00            0.00
          822.71          625.67          3.3421          3.4007          3.3714          604.01        23346.58        25329.36        26111.45
          214.22           93.87          7.4390          7.3488          7.3939            0.00            0.00            0.00            0.00
          215.06          552.17          2.8287          2.2080          2.5183          629.79        20245.91        21200.17        21634.55
          980.47          892.64          3.5567          3.1305          3.3436          565.06        20603.80        23523.87        24500.40
          585.92          360.00          2.7007          2.5757          2.6382          622.28        32222.98        33475.48        34015.05
          351.66          972.53          1.7554          3.2098          2.4826          618.49         7762.18         8383.42         8407.75
          220.08          717.07          2.8969          2.7341          2.8155          626.96        33856.98        35584.83        36381.00
          432.19          891.20          3.1541          3.0845          3.1193          613.67        11999.09        12898.03        13935.12
          540.61          565.76          3.0093          2.7186          2.8640          614.68        27363.50        28749.87        29660.76
          961.56           32.59          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          298.65          733.54          2.9535          2.6550          2.8043          625.63        29126.63        30901.24        31625.04
          678.51          191.63          2.9579          3.0638          3.0109          628.19        22581.66        24788.82        25385.34
          275.12          615.34          2.5839          2.4227          2.5033          628.58        28126.31        29240.19        29501.28
          707.20          889.39          2.9922          3.2506          3.1214          595.82        29004.40        31468.72        32315.44
          356.97           49.40          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          485.04          730.37          2.6808          2.7310          2.7059          621.28        26770.86        28227.39        28463.45
          594.04          366.56          2.9129          3.1187          3.0158          622.29        24283.58        27058.50        28071.35
          366.23          999.16          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          924.34           70.16          7.5005          6.7879          7.1442            0.00            0.00            0.00            0.00
          651.13          720.43          2.9439          2.8796          2.9118          606.57        14789.09        15801.60        16020.47
          392.25          493.13          2.4518          2.8577          2.6548          629.63        23571.53        24998.39        26272.64
          231.15          634.28          2.6545          2.9040          2.7793          631.75        25453.62        26680.42        28572.30
          532.33          525.92          2.7275          2.5793          2.6534          612.48        27139.51        28148.34        28736.21
          111.95          324.03          3.4410          2.3982          2.9196          642.35        26548.38        28616.68        29253.19
          595.88          749.30          2.9013          2.9583          2.9298          609.74        25956.35        27657.55        28136.24
          456.98          404.53          2.7276          2.2915          2.5096          634.28        28081.44        29120.90        29350.92
          868.24          102.15          3.5873          3.1337          3.3605          646.14        14772.29        15888.56        16247.16
          880.89          565.81          3.3634          3.0454          3.2044          602.09        24119.02        26065.51        27978.55
          100.44          737.07          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          581.93          446.43          2.6398          2.3648          2.5023          621.96        24950.23        25757.03        25938.91
          100.25          737.01          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          804.80          117.48          2.7350          3.3354          3.0352          645.94        17162.76        18916.72        19438.33
          234.49           23.63          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          804.79          117.64          3.0645          3.2616          3.1631          645.94        17717.57        19100.04        19518.30
          161.09           60.05          0.0000          0.0000          0.0000            0.00            0.00            0.00            0.00
          704.56          736.02          3.1187          3.2418          3.1803          604.23        13283.17        14159.50        14371.65
          224.26          945.06          3.1793          3.2416          3.2105          625.88        12006.92        12874.97        13258.16
          478.43          590.33          2.8817          3.1474          3.0145          622.27         6232.79         6554.13         6685.13
