star	x	y
1	746.58	459.64
2	547.57	493.95
3	462.38	523.01
4	230.97	347.2
5	112.45	420.52
6	153.63	614.49
7	957.99	389.36
8	500.73	376.04
9	550.72	571.94
10	369.82	409.03
11	580.0	819.65
12	479.33	572.02
13	336.75	573.45
14	586.45	96.41
15	366.07	362.05
16	700.99	686.01
17	580.56	561.08
18	457.39	309.47
19	83.07	774.68
20	1003.41	330.14
21	342.1	460.34
22	757.9	281.49
23	676.07	464.36
24	447.49	738.34
25	539.54	426.1
26	359.43	497.46
27	860.07	632.3
28	496.51	628.96
29	621.56	446.08
30	922.94	603.64
31	453.51	390.57
32	202.58	647.99
33	750.18	556.76
34	413.63	887.82
35	643.4	447.43
36	257.6	476.91
37	267.18	447.19
38	265.17	446.23
39	448.88	448.79
40	813.68	680.96
41	410.77	703.95
42	380.34	370.0
43	784.55	537.39
44	485.09	477.3
45	420.77	334.92
46	438.49	422.28
47	716.04	680.26
48	695.95	175.75
49	541.2	475.65
50	321.19	254.86
51	602.34	636.84
52	523.07	596.28
53	252.54	572.01
54	155.56	402.38
55	601.98	259.71
56	875.04	572.38
57	551.18	398.74
58	932.55	979.31
59	946.98	629.08
60	899.38	838.8
61	812.55	169.38
62	874.58	913.55
63	46.09	248.02
64	399.54	966.24
65	455.56	598.62
66	660.95	666.49
67	41.05	872.92
68	601.44	308.12
69	781.95	426.08
70	215.52	77.1
71	787.6	652.57
72	228.77	627.56
73	625.6	611.5
74	721.31	289.1
75	265.64	351.52
76	457.06	500.99
77	509.01	501.04
78	396.06	124.32
79	757.7	209.97
80	858.8	616.24
81	58.8	925.03
82	410.17	319.37
83	330.03	622.97
84	99.06	657.47
85	127.7	183.57
86	364.82	465.2
87	686.0	415.01
88	854.1	601.06
89	427.64	148.44
90	402.17	180.88
91	540.6	453.43
92	750.52	586.06
93	829.94	910.54
94	698.96	307.7
95	420.65	857.36
96	679.68	172.19
97	131.1	850.64
98	403.44	941.5
99	568.73	337.23
100	490.31	47.04
101	832.91	613.54
102	738.3	695.75
103	786.68	181.1
104	510.04	179.33
105	808.47	976.57
106	674.36	800.91
107	145.74	67.64
108	267.29	479.99
109	472.87	242.84
110	676.43	569.56
111	574.21	78.88
112	489.05	571.67
113	521.11	626.65
114	652.41	157.58
115	646.16	704.3
116	309.35	390.0
117	486.55	514.91
118	161.64	542.02
119	689.97	769.98
120	403.17	363.6
121	492.34	551.56
122	305.64	445.95
123	895.94	614.0
124	581.52	705.47
125	935.5	683.92
126	714.03	630.99
127	961.52	591.96
128	720.46	486.32
129	723.84	435.22
130	397.45	653.38
131	310.51	44.4
132	992.99	724.03
133	943.31	577.95
134	407.15	450.43
135	73.33	119.07
136	105.6	862.38
137	495.4	672.85
138	456.43	301.43
139	18.93	839.16
140	217.43	645.43
141	432.5	809.94
142	796.93	135.77
143	913.26	550.13
144	46.61	647.05
145	528.6	630.03
146	671.97	444.9
147	675.02	392.34
148	219.84	53.11
149	185.68	624.47
150	234.86	492.93
151	185.69	624.47
152	177.35	328.18
153	354.75	684.91
154	303.62	880.92
155	196.67	574.36
156	438.56	825.58
157	260.54	284.4
158	255.74	670.56
159	644.58	342.92
160	816.06	895.64
161	260.46	284.93
162	53.34	821.88
163	716.73	744.92
164	755.3	324.9
165	429.37	702.51
166	790.06	593.28
167	457.35	253.02
168	671.06	469.98
169	41.04	719.92
170	538.01	238.08
171	773.49	918.44
172	445.58	649.97
173	412.46	771.92
174	822.48	625.9
175	214.22	88.87
176	215.22	552.13
177	980.52	892.95
178	586.04	359.97
179	351.69	972.48
180	220.25	717.1
181	432.09	891.21
182	540.74	565.92
183	961.56	32.59
184	298.9	733.76
185	678.49	191.4
186	275.53	615.56
187	707.05	889.71
188	356.97	49.4
189	485.05	730.66
190	594.16	366.52
191	366.23	999.16
192	924.34	66.04
193	651.05	720.65
194	392.59	493.04
195	231.57	634.32
196	532.32	526.0
197	112.35	323.98
198	595.9	749.63
199	457.11	404.35
200	868.27	102.03
201	880.97	565.92
202	100.44	737.07
203	582.02	446.32
204	100.25	737.01
205	804.95	117.51
206	234.49	23.63
207	804.94	117.4
208	161.09	60.05
209	704.39	736.1
210	224.27	945.04
211	478.5	590.32
212	703.02	270.51
213	519.63	715.44
