id xcentroid ycentroid fwhm sharpness roundness pa npix sky peak flux mag
1 382.69 11.89 1.93 0.64 0.03 140.91 12 94.30 230.49 1413.13 -7.88
2 789.21 12.19 1.89 0.63 0.10 43.14 11 13.17 88.74 529.08 -6.81
3 905.98 12.04 1.99 0.66 0.11 110.12 13 32.58 104.09 727.32 -7.15
4 79.98 13.17 2.04 0.68 0.16 85.95 13 64.53 88.66 538.34 -6.83
5 285.69 13.00 1.97 0.66 0.05 90.14 12 103.86 358.13 2129.36 -8.32
6 655.08 13.16 1.96 0.65 0.06 90.44 13 28.29 108.77 722.64 -7.15
7 993.97 13.06 1.96 0.65 0.04 110.48 13 189.15 599.06 3569.02 -8.88
8 630.85 14.76 1.87 0.62 0.05 118.74 12 17.88 100.71 477.87 -6.70
9 55.54 16.00 1.90 0.63 0.04 74.97 12 157.00 377.82 2417.61 -8.46
10 726.29 15.77 1.90 0.63 0.18 70.44 11 15.22 68.39 414.46 -6.54
11 559.10 17.08 1.99 0.66 0.20 81.44 13 26.89 154.91 976.36 -7.47
12 818.20 17.72 1.97 0.66 0.06 165.01 12 20.42 78.53 469.41 -6.68
13 699.75 18.97 1.94 0.65 0.07 98.21 12 73.83 305.24 1919.00 -8.21
14 781.08 18.80 1.90 0.63 0.07 104.56 12 29.01 163.07 906.47 -7.39
15 851.05 20.19 1.99 0.66 0.02 134.34 12 16.01 111.70 691.34 -7.10
16 361.98 20.48 1.84 0.61 0.14 93.13 11 67.49 199.72 1157.64 -7.66
17 921.13 20.55 1.84 0.61 0.05 77.53 11 109.51 414.41 2397.98 -8.45
18 24.11 22.90 2.02 0.67 0.05 4.62 12 94.19 166.60 1079.84 -7.58
19 547.25 23.09 1.96 0.65 0.09 68.53 13 143.58 532.49 3506.64 -8.86
20 843.31 23.01 1.95 0.65 0.03 164.80 12 16.18 70.97 509.66 -6.77
21 234.10 23.92 2.02 0.67 0.04 19.61 13 452.25 1366.90 9035.91 -9.89
22 346.67 24.16 1.88 0.63 0.07 7.84 12 40.68 139.56 783.12 -7.23
23 468.95 23.83 2.12 0.71 0.20 168.99 12 49.28 88.33 714.81 -7.14
24 385.85 24.83 1.90 0.63 0.14 106.41 11 30.50 123.05 675.09 -7.07
25 308.93 25.88 2.01 0.67 0.08 175.79 12 22.47 86.72 574.47 -6.90
26 565.77 26.13 2.02 0.67 0.15 28.80 13 65.36 175.45 1293.09 -7.78
27 909.06 25.70 1.84 0.61 0.08 88.89 11 30.31 109.62 601.61 -6.95
28 281.13 27.63 1.95 0.65 0.09 56.05 12 40.81 126.06 797.44 -7.25
29 629.62 28.95 2.00 0.67 0.16 88.59 12 23.00 84.35 567.71 -6.89
30 146.86 31.00 2.06 0.69 0.18 85.50 12 35.39 80.74 515.72 -6.78
31 939.93 30.83 1.92 0.64 0.09 139.38 12 23.58 142.72 781.75 -7.23
32 36.57 32.90 1.88 0.63 0.06 100.89 11 85.97 105.05 621.59 -6.98
33 375.68 32.86 1.96 0.65 0.05 130.53 11 45.42 195.03 1181.54 -7.68
34 961.00 32.63 1.89 0.63 0.03 118.57 12 499.03 2337.03 13436.74 -10.32
35 235.87 34.24 2.00 0.67 0.15 53.40 12 30.07 60.32 351.24 -6.36
36 446.09 33.95 1.90 0.63 0.18 78.76 13 45.81 161.86 971.57 -7.47
37 732.37 33.89 1.91 0.64 0.20 74.86 12 12.26 67.25 331.42 -6.30
38 920.73 34.09 1.94 0.65 0.05 99.19 12 31.85 109.46 753.32 -7.19
39 347.11 34.50 1.84 0.61 0.07 37.84 12 307.10 949.83 5795.43 -9.41
40 989.04 34.80 2.00 0.67 0.05 147.45 13 44.24 213.65 1366.92 -7.84
41 571.10 35.91 1.92 0.64 0.18 80.23 12 17.68 108.84 678.85 -7.08
42 614.85 35.57 1.81 0.60 0.08 111.59 11 54.74 263.59 1438.69 -7.89
43 912.01 35.76 1.89 0.63 0.08 109.61 12 45.45 238.99 1364.38 -7.84
44 978.99 35.68 1.87 0.62 0.06 136.57 12 37.47 140.59 749.59 -7.19
45 47.62 36.87 1.95 0.65 0.04 144.98 11 151.88 356.84 2310.12 -8.41
46 695.17 38.01 1.98 0.66 0.19 87.37 12 14.52 97.15 636.92 -7.01
47 408.06 38.80 2.04 0.68 0.11 112.24 13 9.66 67.15 485.13 -6.71
48 886.77 39.95 1.94 0.65 0.10 117.69 13 239.53 896.49 5598.97 -9.37
49 301.06 40.60 1.91 0.64 0.04 32.79 12 117.65 353.21 2187.84 -8.35
50 771.70 40.57 1.82 0.61 0.16 127.36 11 192.44 808.21 4800.84 -9.20
51 179.71 41.90 1.98 0.66 0.05 91.08 13 71.08 198.13 1133.70 -7.64
52 666.87 43.02 1.92 0.64 0.07 90.02 12 107.69 561.30 3271.58 -8.79
53 935.26 43.05 1.92 0.64 0.01 136.72 12 120.21 469.87 2832.51 -8.63
54 365.51 43.94 1.87 0.62 0.06 132.64 11 148.70 364.60 2143.21 -8.33
55 310.14 44.66 1.93 0.64 0.07 37.25 12 771.86 2748.05 16788.98 -10.56
56 713.93 44.55 1.85 0.62 0.11 99.24 12 35.07 163.49 864.52 -7.34
57 804.63 44.77 1.95 0.65 0.14 137.25 11 12.84 57.39 402.10 -6.51
58 489.90 47.08 1.96 0.65 0.08 71.54 13 1009.04 4695.77 28117.18 -11.12
59 851.16 46.46 1.73 0.58 0.16 63.98 10 52.38 139.88 738.91 -7.17
60 444.22 47.98 1.88 0.63 0.13 25.87 12 17.38 73.04 391.84 -6.48
61 336.74 48.77 1.90 0.63 0.05 177.84 12 40.78 147.56 732.77 -7.16
62 356.78 49.74 1.91 0.64 0.05 127.89 11 457.17 2073.15 11527.75 -10.15
63 657.11 51.06 2.00 0.67 0.15 94.77 13 16.04 89.71 601.36 -6.95
64 599.10 53.01 1.98 0.66 0.02 89.05 13 52.23 223.63 1412.79 -7.88
65 617.25 52.61 1.85 0.62 0.13 51.67 11 51.67 229.47 1369.57 -7.84
66 798.84 53.16 1.94 0.65 0.12 97.96 13 20.91 104.43 616.93 -6.98
67 219.84 53.62 1.93 0.64 0.07 139.33 11 600.38 2267.65 13467.39 -10.32
68 391.00 53.86 2.01 0.67 0.15 177.69 12 68.74 185.76 1031.60 -7.53
69 941.56 54.22 1.74 0.58 0.19 129.78 11 22.03 69.22 365.94 -6.41
70 266.75 55.84 1.94 0.65 0.08 166.39 12 36.12 101.30 574.92 -6.90
71 989.86 55.81 1.69 0.56 0.14 145.16 9 15.33 57.08 258.08 -6.03
72 516.22 57.16 1.97 0.66 0.05 51.66 13 71.95 265.73 1816.19 -8.15
73 646.98 57.40 1.81 0.60 0.11 52.00 11 30.76 76.46 454.89 -6.64
74 689.84 56.90 1.90 0.63 0.08 101.59 12 141.12 772.96 4348.87 -9.10
75 462.92 58.13 2.01 0.67 0.04 59.67 13 31.77 113.68 743.89 -7.18
76 72.54 59.27 1.82 0.61 0.19 54.94 11 99.38 216.99 1298.40 -7.78
77 160.92 60.23 1.96 0.65 0.10 68.58 12 483.36 1271.14 8125.48 -9.77
78 311.86 59.94 1.95 0.65 0.10 152.63 12 21.89 68.34 348.61 -6.36
79 281.79 60.93 1.93 0.64 0.02 130.81 12 70.12 237.05 1394.63 -7.86
80 750.91 60.99 1.93 0.64 0.05 146.63 13 4.89 75.90 446.34 -6.62
81 339.91 62.14 2.01 0.67 0.11 69.13 13 59.71 193.84 1247.41 -7.74
82 550.98 61.89 1.93 0.64 0.06 72.45 13 113.05 582.47 3236.68 -8.78
83 222.72 63.21 1.98 0.66 0.19 71.84 12 34.41 66.75 441.34 -6.61
84 781.69 63.09 1.80 0.60 0.03 75.18 11 3.64 65.97 374.07 -6.43
85 658.11 64.88 1.97 0.66 0.04 58.56 12 27.01 135.48 823.24 -7.29
86 185.81 65.73 1.99 0.66 0.13 155.47 12 58.59 115.72 665.37 -7.06
87 390.09 65.90 1.98 0.66 0.06 44.78 12 60.65 218.46 1360.82 -7.83
88 437.27 65.74 1.93 0.64 0.06 52.88 11 12.01 55.55 360.25 -6.39
89 505.07 65.66 1.94 0.65 0.11 78.36 11 20.01 69.96 469.37 -6.68
90 697.79 65.80 1.87 0.62 0.12 114.45 11 48.03 159.73 867.42 -7.35
