id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 382.49 11.84 0.48 0.27 0.00 25 0.00 324.79 3.03 -1.20
2 789.28 12.26 0.45 0.57 -0.03 25 0.00 101.92 1.29 -0.28
3 891.13 12.07 0.38 0.27 -0.44 25 0.00 122.52 1.12 -0.13
4 905.96 12.07 0.38 -0.61 0.18 25 0.00 136.66 1.51 -0.45
5 79.98 13.29 0.55 -0.15 0.15 25 0.00 153.19 1.02 -0.02
6 285.54 13.03 0.52 0.17 0.07 25 0.00 461.99 4.49 -1.63
7 655.11 13.21 0.41 0.49 0.10 25 0.00 137.07 1.54 -0.47
8 993.96 13.10 0.48 -0.41 0.08 25 0.00 788.20 8.05 -2.26
9 630.78 14.63 0.63 0.23 0.03 25 0.00 118.59 1.22 -0.22
10 44.69 16.27 0.57 0.12 0.14 25 0.00 123.98 1.04 -0.04
11 55.21 16.05 0.47 0.14 -0.02 25 0.00 534.82 5.01 -1.75
12 559.15 17.10 0.47 0.76 0.24 25 0.00 181.80 2.03 -0.77
13 769.51 16.34 0.54 -0.25 0.17 25 0.00 360.06 3.69 -1.42
14 994.60 18.05 0.48 -0.07 0.17 25 0.00 798.27 7.49 -2.19
15 699.64 18.96 0.45 0.09 0.05 25 0.00 379.06 4.16 -1.55
16 781.11 18.75 0.51 -0.19 0.10 25 0.00 192.08 2.17 -0.84
17 850.98 20.22 0.43 0.23 0.06 25 0.00 119.49 1.38 -0.35
18 362.00 20.06 0.54 0.23 0.34 25 0.00 267.21 2.48 -0.99
19 921.18 20.27 0.52 -0.21 0.20 25 0.00 523.92 5.40 -1.83
20 187.11 21.99 0.41 -0.55 -0.44 25 0.00 123.24 1.06 -0.06
21 24.15 22.92 0.47 -0.16 -0.19 25 0.00 260.78 2.10 -0.80
22 547.38 23.17 0.44 0.53 0.05 25 0.00 676.07 7.13 -2.13
23 843.57 23.03 0.37 0.02 0.07 25 0.00 86.47 1.03 -0.03
24 234.18 23.94 0.45 0.20 -0.06 25 0.00 1819.14 17.68 -3.12
25 346.47 24.29 0.43 -0.17 0.03 25 0.00 165.67 1.82 -0.65
26 468.89 23.71 0.37 -0.59 -0.39 25 0.00 137.61 1.13 -0.13
27 385.76 24.80 0.51 0.05 0.18 25 0.00 153.55 1.69 -0.57
