id xcentroid ycentroid fwhm sharpness roundness pa npix sky peak flux mag
1 284.77 12.33 1.71 0.57 0.05 117.77 12 387.92 5319.08 23556.00 -10.93
2 323.64 11.93 1.74 0.58 0.05 169.33 11 113.58 1108.42 5619.58 -9.37
3 789.12 11.87 1.75 0.58 0.13 9.85 10 100.42 907.58 3865.83 -8.97
4 905.93 11.90 1.99 0.66 0.07 96.86 13 186.42 580.58 3325.58 -8.80
5 993.92 12.40 1.83 0.61 0.04 129.29 12 877.50 3350.50 18491.00 -10.67
6 654.94 12.77 1.83 0.61 0.09 167.45 12 60.92 1020.08 5716.00 -9.39
7 630.67 14.01 1.83 0.61 0.14 125.57 12 43.50 706.50 3674.00 -8.91
8 53.96 15.25 1.74 0.58 0.04 134.03 12 547.50 8726.50 36862.00 -11.42
9 726.10 15.02 1.77 0.59 0.18 160.31 11 45.92 617.08 3056.92 -8.71
10 104.89 15.79 1.72 0.57 0.15 92.63 12 35.50 991.50 3993.00 -9.00
11 209.73 15.94 1.58 0.53 0.19 101.09 10 -28.83 409.83 1437.33 -7.89
12 769.25 16.10 1.80 0.60 0.10 150.21 11 339.25 2663.75 13047.25 -10.29
13 558.94 16.75 1.81 0.60 0.06 175.54 13 130.50 1706.50 8607.50 -9.84
14 818.14 17.29 1.68 0.56 0.18 127.09 11 66.67 654.33 2391.67 -8.45
15 533.73 17.92 1.72 0.57 0.13 140.88 10 8.75 343.25 1511.50 -7.95
16 780.91 18.29 1.87 0.62 0.04 165.08 12 170.75 1331.25 6833.00 -9.59
17 159.28 19.86 1.68 0.56 0.04 6.64 11 102.42 1496.58 6109.42 -9.46
18 361.13 19.89 1.78 0.59 0.12 117.04 12 369.75 2831.25 12820.00 -10.27
19 616.82 20.49 1.74 0.58 0.06 105.97 10 54.25 467.75 2198.50 -8.36
20 850.83 19.83 1.90 0.63 0.14 1.64 12 135.42 1004.58 5184.00 -9.29
21 921.02 19.95 1.92 0.64 0.03 14.13 13 747.75 3408.25 18250.25 -10.65
22 22.72 22.20 1.79 0.60 0.09 11.81 12 513.75 3024.25 14683.00 -10.42
23 173.13 22.83 1.75 0.58 0.09 154.89 13 20.67 1469.33 6293.33 -9.50
24 233.19 23.28 1.71 0.57 0.09 131.02 11 2110.17 28600.83 118320.17 -12.68
25 468.83 23.21 1.87 0.62 0.11 160.80 12 150.25 1345.75 6444.00 -9.52
26 546.97 22.86 1.84 0.61 0.04 175.51 13 745.33 7373.67 36219.67 -11.40
27 345.89 23.66 1.70 0.57 0.06 127.65 12 136.42 1991.58 9113.00 -9.90
