id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 78.19 12.53 0.63 0.21 0.16 25 0.00 1801.00 2.97 -1.18
2 284.74 12.43 0.61 -0.44 0.06 25 0.00 5707.00 9.85 -2.48
3 323.52 11.92 0.50 -0.17 -0.13 25 0.00 1222.00 2.36 -0.93
4 789.19 11.82 0.60 -0.10 -0.16 25 0.00 1008.00 1.75 -0.61
5 890.98 11.74 0.40 0.28 -0.43 25 0.00 787.00 1.17 -0.17
6 905.88 11.81 0.54 -0.05 0.13 25 0.00 767.00 1.03 -0.03
7 993.92 12.59 0.52 -0.23 0.09 25 0.00 4228.00 6.44 -2.02
8 654.88 12.67 0.46 -0.22 -0.11 25 0.00 1081.00 2.19 -0.85
9 630.63 14.05 0.52 -0.26 0.03 25 0.00 750.00 1.41 -0.37
10 43.37 15.32 0.59 0.15 0.19 25 0.00 1599.00 2.88 -1.15
11 53.96 15.30 0.62 -0.10 0.06 25 0.00 9274.00 16.30 -3.03
12 82.78 15.12 0.66 -0.24 0.30 25 0.00 2021.00 3.11 -1.23
13 679.47 14.61 0.55 -0.21 -0.24 25 0.00 596.00 1.15 -0.15
14 726.21 15.05 0.48 -0.38 -0.24 25 0.00 663.00 1.38 -0.35
15 104.83 15.66 0.63 0.09 0.21 25 0.00 1027.00 1.85 -0.67
16 769.33 16.12 0.55 -0.20 -0.13 25 0.00 3003.00 5.22 -1.79
17 376.40 17.33 0.55 -0.19 -0.04 25 0.00 583.00 1.07 -0.07
18 558.93 16.66 0.53 -0.05 -0.02 25 0.00 1837.00 3.34 -1.31
19 818.20 17.37 0.68 -0.14 0.05 25 0.00 721.00 1.20 -0.19
20 82.90 17.61 0.71 0.28 0.48 25 0.00 1580.00 2.18 -0.84
21 699.57 18.63 0.49 0.32 -0.03 25 0.00 2943.00 5.14 -1.78
22 780.90 18.37 0.57 -0.02 -0.07 25 0.00 1502.00 2.43 -0.96
23 994.71 17.75 0.46 0.43 0.40 25 0.00 2437.00 3.55 -1.37
24 25.30 20.39 0.70 -0.08 0.02 25 0.00 990.00 1.33 -0.31
25 159.32 19.83 0.62 -0.12 -0.06 25 0.00 1599.00 2.83 -1.13
26 361.21 19.86 0.57 -0.40 0.13 25 0.00 3201.00 5.54 -1.86
27 850.80 19.81 0.57 0.11 -0.17 25 0.00 1140.00 1.81 -0.65
28 921.04 19.96 0.53 0.06 -0.02 25 0.00 4156.00 6.50 -2.03
29 22.58 22.24 0.57 -0.48 -0.18 25 0.00 3538.00 5.72 -1.89
30 173.14 22.80 0.60 -0.10 -0.03 25 0.00 1490.00 2.81 -1.12
31 190.69 22.15 0.47 0.03 0.13 25 0.00 516.00 1.06 -0.06
32 233.23 23.33 0.64 0.08 0.04 25 0.00 30711.00 52.42 -4.30
33 468.83 23.30 0.62 -0.82 -0.16 25 0.00 1496.00 2.33 -0.92
34 546.98 22.83 0.55 -0.08 -0.03 25 0.00 8119.00 14.32 -2.89
35 843.27 22.88 0.59 -0.26 -0.02 25 0.00 808.00 1.30 -0.28
36 287.89 24.07 0.60 -0.11 0.07 25 0.00 549.00 1.13 -0.13
37 345.85 23.54 0.56 0.06 0.13 25 0.00 2128.00 3.92 -1.48
38 385.08 24.35 0.60 -0.34 0.14 25 0.00 1731.00 3.10 -1.23
39 31.67 25.08 0.65 -0.97 -0.61 25 0.00 687.00 1.12 -0.13
40 114.06 24.84 0.57 0.26 -0.18 25 0.00 859.00 1.45 -0.40
41 168.88 25.39 0.61 0.03 0.06 25 0.00 901.00 1.70 -0.57
42 308.18 25.22 0.62 -0.12 0.01 25 0.00 1448.00 2.65 -1.06
43 785.98 25.15 0.63 -0.28 -0.27 25 0.00 1470.00 2.17 -0.84
44 787.50 25.05 0.57 -0.06 -0.91 25 0.00 782.00 1.01 -0.01
45 909.03 25.22 0.56 -0.07 -0.08 25 0.00 928.00 1.52 -0.46
46 565.52 25.90 0.56 0.41 -0.32 25 0.00 2410.00 3.80 -1.45
47 183.97 27.42 0.59 -0.34 -0.18 25 0.00 609.00 1.15 -0.15
48 280.14 26.85 0.60 -0.10 0.06 25 0.00 2445.00 4.23 -1.57
49 70.42 28.55 0.46 -0.13 0.28 25 0.00 733.00 1.33 -0.31
50 137.46 28.23 0.62 -0.03 -0.01 25 0.00 1057.00 1.86 -0.67
51 13.12 28.90 0.56 0.18 0.21 25 0.00 817.00 1.31 -0.29
52 34.08 29.78 0.70 0.10 0.82 25 0.00 1079.00 1.45 -0.41
53 629.17 28.35 0.44 -0.36 0.41 25 0.00 684.00 1.38 -0.35
54 785.47 28.25 0.63 -0.19 0.28 25 0.00 1007.00 1.54 -0.47
55 39.93 30.44 0.63 -0.16 -0.20 25 0.00 1195.00 1.90 -0.70
56 145.36 30.30 0.52 -0.62 -0.10 25 0.00 1296.00 2.46 -0.98
57 196.20 29.87 0.58 0.00 0.21 25 0.00 735.00 1.34 -0.32
58 939.99 30.32 0.61 -0.08 0.18 25 0.00 967.00 1.44 -0.40
59 34.81 32.27 0.66 0.32 0.20 25 0.00 2953.00 4.84 -1.71
60 88.38 32.26 0.72 -0.15 -0.01 25 0.00 1091.00 1.61 -0.52
61 375.02 32.44 0.60 -0.17 0.10 25 0.00 2970.00 5.24 -1.80
62 961.03 32.05 0.55 -0.01 -0.07 25 0.00 19729.00 32.33 -3.77
63 14.54 33.26 0.66 0.04 -0.05 25 0.00 2115.00 3.24 -1.28
64 235.00 33.82 0.64 -0.03 0.16 25 0.00 1201.00 2.08 -0.80
65 346.51 33.68 0.60 -0.65 -0.07 25 0.00 14835.00 26.07 -3.54
66 445.62 33.54 0.49 -0.69 -0.06 25 0.00 2005.00 3.64 -1.40
67 554.83 34.09 0.54 0.73 0.16 25 0.00 649.00 1.17 -0.17
68 920.61 33.92 0.58 -0.05 -0.06 25 0.00 1130.00 1.69 -0.57
69 989.00 34.31 0.58 -0.01 0.04 25 0.00 1471.00 2.37 -0.94
