Star#,2021-03-01,2021-03-02,2021-03-11,2021-03-12,2021-03-18,2021-03-19,2021-03-27,2021-03-30,2021-03-31,2021-04-20,2021-05-04,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-13,2021-05-31,2021-06-04,2021-06-05,2021-06-08,2021-06-10,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-21,2021-06-30,2021-07-02,2021-07-11,2021-07-16,2021-07-17,2021-07-18,2021-07-24,2021-07-25,2021-08-01,2021-08-02,2021-08-09,2021-08-11,2021-08-13,2021-08-15,2021-08-21,2021-08-31,2021-09-01,2021-09-04,2021-09-06,2021-09-07,2021-09-16,2021-09-18,2021-09-19,2021-09-22,2021-09-26,2021-09-27,2021-09-28
1,1608528.2819827,1476214.6874602,1530901.0835007,1446169.8327875,1512871.5336815,1510169.0677488,1354975.7142419,1296660.3169877,1407730.1333392,1426323.9152768,1433372.7232407,1442564.7891765,1469172.4121046,1541166.942752,1499743.1859564,1575543.9805268,1505416.0458058,1430126.7716415,1366969.2589439,1393960.1971788,1564871.5445722,1458347.8349113,1497177.527497,1523045.4263208,1410861.5815717,1516853.8730163,1410163.0625029,1576929.4156794,1482157.294726,1577054.5936815,1476466.9731988,1591250.2494564,1532937.268685,1551520.5353554,1420591.134134,1456898.3536112,1380655.3070286,1432105.1330213,1492968.9897779,1471846.3968408,1408388.8628955,1377956.4781513,1497646.4879255,1477721.3046138,1468435.9557366,1472407.3446229,1460323.5751679,1546004.6801487,1555319.2278499,1483665.7901778,1472429.1782124,1428409.2222922,1344909.5387691
2,712343.2224555,704006.3810019,690647.4562321,682297.7545496,684721.6056325,679263.3279549,688171.2101935,674985.8556069,692461.3077809,680328.7602405,684196.1258594,681812.9944606,692066.8629097,677367.8221095,668271.2530749,678459.2548256,675364.842689,677528.6779357,673225.8836791,672758.674325,674463.3600496,675438.0058267,678750.5088222,664269.3271641,674784.4575054,685031.5388869,674598.9524149,699398.065699,684801.6723353,702135.5574318,696184.4772258,707261.9913082,714562.5834647,695358.7903844,675994.0325737,678257.7192703,676820.8835156,683660.5461315,686767.4538822,688529.6160444,704273.4083367,663788.1378537,683145.8627182,686570.2298844,689159.8416472,679493.518328,704893.9097455,703794.4143494,717043.6688347,690305.8787396,679641.7606634,679292.1439482,667923.0975913
3,687962.376604,681400.383835,671472.0627003,660687.5246181,662476.9220203,653839.9813613,665287.8022921,646809.0127758,669563.5081708,654266.6857496,662010.4931509,653649.3990046,663486.9444331,656834.2424094,654078.7000511,654119.2836635,649627.7663184,646260.3342633,641226.4464432,643283.2907081,646214.4014314,648157.4405359,659757.3906106,645507.8402737,646891.1707827,667183.9389184,649896.2082447,676246.9517846,656496.8782069,676650.6376947,668020.2660939,685763.0220484,689827.949503,670416.6839124,644080.0478244,647668.1709581,647049.9868081,652195.7230012,656664.2841561,658938.0857095,674861.3545383,634082.1055242,655268.9382883,659633.1471243,660419.1317779,650801.4445192,676559.9220255,676630.7327522,685124.9385608,660107.2139307,647942.8608921,648563.2465782,636179.7216767
4,599598.5534928,590367.4720617,588751.8542369,574723.0801161,570293.312859,573255.0420769,572748.0059819,561216.990066,582272.5298262,570662.9117789,579140.8973514,568155.6325634,574179.141846,592321.5797473,587539.6776414,586981.8310777,574130.8024579,565793.617498,557557.6768663,563046.5257032,571902.9067935,572262.7820502,586705.3009277,583033.1951994,569761.3945485,599252.9301478,565679.1042775,594232.6316271,575949.065324,589694.6155242,585845.2556413,604731.0679686,601226.6806511,585449.1006713,565406.5259577,568218.4349609,567214.0617698,572276.9128471,573473.9016009,581537.1229862,586824.3122643,556566.5187487,575933.0570665,580776.4558038,574517.3299785,568094.5000278,585425.7482473,590385.9151453,586480.3104234,580776.9517971,563912.1277579,562301.6834422,555802.429316
5,599470.2652929,589566.7972547,593339.9371415,577028.6776793,0.0,576914.9358661,577396.5662885,572379.6604967,584753.5571383,574388.1446351,585116.5873865,574899.818264,577096.4473888,603219.6133006,599334.9681593,593749.4071851,581518.748396,573653.8795826,566145.3768972,568468.6715058,580912.0671665,576345.1895065,0.0,592719.9981395,573995.8022054,610214.5928045,568462.2587097,0.0,580464.7657012,590998.2362631,588727.6721845,608358.0646897,0.0,590107.9325709,570917.6685212,572676.1970279,574153.583216,576791.0619808,0.0,580783.504138,0.0,564664.7310307,0.0,0.0,0.0,571302.8929567,0.0,0.0,587319.0733524,583107.8383153,568614.9141421,569633.111383,567212.082887
6,539897.9691823,536573.518907,535949.4547494,530763.4789,523132.6489907,531619.1088377,533838.6502985,528956.0258126,537092.1885109,530268.3974824,538895.0879297,535540.2590307,533556.549547,548705.7295373,546803.0421359,541769.5332159,536674.481351,534825.7441875,531035.6585697,532791.0702082,535853.9327188,540630.3785012,546674.2730393,550333.1636974,537286.8376452,549252.4397068,529961.8982836,528648.9153026,535941.7826897,529781.3599785,535017.7267819,535325.9250092,0.0,531011.1647286,532391.8619482,528060.0232222,526645.7895645,535160.0935107,530670.0603975,539221.9652226,533414.7595476,526379.1427469,0.0,535305.7590938,524012.3544245,532633.864729,532662.2251488,534807.1356958,531174.9527753,537948.3580603,531029.642202,527904.3679776,530598.9575047
7,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
8,470548.3969895,470010.3373843,465589.6218,463139.0553343,460145.431751,463830.0576925,466096.2664505,465603.9287301,465338.2175309,463730.5434846,464128.7202495,462995.9686903,464858.2307122,464264.9295229,461767.315347,464396.3836495,462550.2106227,463602.2786463,461598.7922962,460951.8032763,460033.0186439,464556.6315419,464972.5629908,463442.1367226,464096.2778776,463835.5833899,459822.4749851,458372.1927222,463231.3788954,462770.234894,464535.8770253,462799.9566134,466148.3552662,461067.42999,463485.7147768,460451.7338071,461970.6295531,464238.211315,461660.5254296,468032.0304941,468844.5206868,461243.4305428,463021.3945176,463433.3864212,461130.2537905,465675.740274,466931.6404973,466194.8720207,464276.3797677,465857.3092842,464072.1668084,462758.9749738,461034.7541723
9,433682.9970009,435731.003625,431755.9540426,431853.5965415,431269.856448,431983.5497549,433163.7684328,434858.9572055,427230.8937586,431813.3156533,424775.9550745,426107.6797938,437585.4680935,427883.7590916,424386.6357203,429758.5853614,430202.5784515,434072.7816463,431442.9322873,429305.4955454,428801.818918,431613.0088813,430288.7292857,423210.6188428,431310.7314056,420680.2651731,426698.6477654,426691.5496959,431648.533404,432303.690303,432866.5033096,432554.1944809,433589.4574677,430372.5940789,429964.934375,427619.4090086,430561.7720808,429376.6302488,431626.4084444,430321.5960837,436476.6086557,430940.861541,425907.0523248,431401.2412827,431044.5684034,432915.0108315,433837.2024139,431183.5480948,430747.1281133,432007.2822379,434524.2436955,434138.4489152,431676.0091583
10,411084.1037853,409391.768826,410303.7467401,407868.582369,404129.8667312,410106.4774803,408298.3915572,408826.3537186,405050.8755302,408245.8564375,405340.294832,404773.5832498,408381.8196071,411661.6516199,409388.4489533,412161.3305909,408574.5028667,408649.1893201,405994.4906745,405707.5023483,405988.1055966,409276.8332605,411148.9827468,407551.8531422,409479.9478495,406258.8495258,405218.6024843,403517.6928021,407979.6177252,405010.9009367,407842.5100202,409396.6075407,407711.735542,405144.1065953,405812.1796516,401145.8371329,403148.6540433,405043.8709426,407636.131175,408105.0199563,409492.2533891,405865.6901726,404276.4381792,408275.4100681,405420.7594892,407459.1575379,405003.1415751,406626.4587671,403068.7396949,408354.6148669,407479.9967142,405521.739119,404818.9821776
11,386194.2307451,386347.9275211,384406.5088656,381279.6551272,380394.3464113,381459.6123014,382652.287149,383618.4363516,381773.4229013,381973.7500609,380863.1380892,376442.1666061,380534.2147484,378530.5764682,377048.8887701,380033.2130788,378202.6749965,381342.0509073,379954.4722203,379888.39563,377055.2195904,381076.8406161,380539.0961078,376849.7200812,380747.2550753,375860.3602104,378625.8228654,378892.741446,380415.7394899,381655.5054505,382691.0413677,382129.0960955,384609.4477664,380217.3689806,379558.7005242,377470.6798737,378113.5214986,378976.5787515,375916.773307,382501.2237919,379834.6841703,377412.3016736,377470.4421683,378807.045173,377096.6582806,380202.3053384,382748.3633131,379394.7180533,382884.0179499,380589.0425941,380569.5533462,381178.0093593,379938.9729678
12,373717.0349983,371909.5680309,372455.9889831,370052.7717136,367679.3059557,372426.9179358,370700.1270259,371384.6469897,366796.8257759,370709.0032493,367684.5485246,367839.4882134,374448.75879,371540.0577527,369599.2075368,373021.5147432,370668.441718,371701.248734,369138.3399814,368317.0623875,369295.1770528,371553.8417602,372622.2929383,367799.698191,371258.8797334,365793.6961704,367551.4615138,367500.968855,371123.7157227,369041.95393,370813.0549406,371288.0749275,371379.1096376,368142.6563442,368465.0744468,364818.9961102,367536.5566506,368543.254522,370665.478736,369502.4288478,374119.4055588,368281.5617931,366300.1196134,371714.3863455,368881.0315092,372642.5042116,371647.6337736,369371.6514949,370149.2629504,371590.7613757,372104.8704276,373447.0421927,369273.1267438
13,350018.8283747,349899.3243944,346152.4907045,345601.4481806,345646.7582301,345889.3910861,348400.3724948,349227.9767225,346016.5836044,346854.499358,346145.8646941,346254.7111592,349130.1729016,344888.1540299,341759.5496729,345654.5823943,345689.1557081,348216.7758372,346900.0646577,345920.2961035,344940.3193103,348026.1426986,350436.8098478,343875.3584525,347595.7127473,342151.572249,344958.5445837,342547.7257231,346952.8006371,346222.0335236,347085.6066437,345103.5503822,346270.9694424,344297.9400595,346300.5290223,343743.985911,344940.4778204,346568.566296,347327.0837738,347984.6891171,349712.7064256,346001.1359101,345370.9846265,347468.8003973,345121.8349021,345463.3963845,347339.6573191,347688.9196131,345701.3452436,348296.1418155,346974.7845749,346661.9862463,345090.3675211
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354448.9440831,0.0,0.0,344355.6078629,342340.4964732,342424.4663748,0.0,342054.2472678,0.0,347784.3994356,350974.6253753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341198.9477366,0.0,0.0,0.0,0.0,0.0,346458.668188,0.0,346982.7280227,0.0,340361.167553,343998.9591436,341934.4348725,0.0,340921.5147241,0.0,0.0,0.0,0.0,0.0,0.0
15,343020.6921436,333525.7887953,330760.4563733,320554.5505486,320119.4844576,322299.0119486,331873.5839351,327794.138074,324909.7422989,319629.3049483,325431.0896838,321688.9125735,329928.6996386,338741.07853,338230.5786594,339542.6325932,325557.2493239,322233.7178836,318907.8454015,318553.7540947,322409.4686748,324863.1280863,333175.5790266,332639.9339376,325073.3377183,344241.0722408,322083.8650769,330435.096711,333205.1922293,335547.5975121,335341.1756934,344066.5195748,345169.0670666,334060.9526559,328431.176885,325560.4027659,318790.0014068,324059.5417529,323126.3729836,325889.223185,342012.5454123,327540.8759522,332939.5958715,335188.3441045,332211.5614092,333880.7191845,333960.2302138,339589.148794,343247.6631243,333725.4363661,322590.3036014,323297.3788638,316996.6507213
16,339565.4504843,338880.5251082,229720.2219578,337353.3684446,336665.4675946,313187.3554048,338129.2654411,307108.848453,334915.4660764,338546.2400886,334568.4828665,333009.8614656,340432.7545941,337409.9363064,337508.2576086,317624.0515135,338034.7879347,291694.6175606,336939.8720787,337513.7133895,335241.8432562,336853.7679951,337599.7977809,335900.0373596,287604.2561879,331160.290285,335523.6463037,333447.4165599,338273.093367,337141.7364198,338626.2865226,292526.9932138,337463.8195186,338130.2726636,271333.6501311,333241.9658613,265686.5198114,335787.0712387,336811.8202742,335840.8070464,340745.1374446,274087.778831,333473.0288781,337951.9751693,335172.2799389,341102.7761574,339064.6489346,337130.6548154,339542.2845567,249528.7466569,340659.389158,339297.3326044,338786.4497207
17,332678.4575107,330869.7009208,331179.9658331,329579.9097716,327458.7126692,331196.6025358,331711.1834992,332959.1189415,326577.6680106,330566.843828,325573.8488448,327706.1013434,334040.1002323,329214.2598302,326987.9477971,330433.646614,330494.8810027,332635.8795383,330647.7741647,329646.4271888,328018.1412855,329872.5205749,329275.2488655,323968.4292465,330554.7206469,322286.4492701,327568.5840971,328010.6910487,330420.5124582,331240.2080992,331385.3983393,331606.6593115,331114.4123245,329832.1058511,328258.4660456,325106.2030494,329339.5606606,327955.2606192,330494.8635858,329030.9889973,334590.2746138,330395.2570921,326066.1965166,331201.9649788,330054.9073256,333025.0244353,331341.6632594,329554.3231222,331505.1325151,331365.9790969,332642.7178095,332598.3394888,331523.6141373
