Star#,2022-06-16,2022-06-17,2022-06-19,2022-06-20,2022-06-23,2022-06-26,2022-06-27,2022-07-01,2022-07-09,2022-07-17,2022-07-19,2022-07-28,2022-07-29,2022-07-30,2022-08-03,2022-08-04,2022-08-16,2022-08-21,2022-08-23,2022-08-29,2022-08-30,2022-08-31,2022-09-07,2022-09-20,2022-09-21,2022-09-25,2022-09-26,2022-09-27,2022-09-29
1,1129655.0866816,1067696.3539864,1167099.6737683,1114066.9919999,1131775.2156557,1460247.2999768,1205419.4152576,1199989.1431498,1058337.7048174,1187454.6111102,1308856.5177803,1120283.1434684,1228167.4248557,1227068.0516172,1152216.7559763,1061413.7940392,1099095.2937643,1022730.8047724,1055102.5515438,1307347.5745048,1167708.1590238,1136614.8198156,1048638.3318153,1218628.4492395,1149909.6236895,1267614.7752754,1268018.2105965,1060278.5230809,1102854.4591694
2,650953.7941528,629458.5576722,667301.5628979,659182.9948236,673947.3154738,757009.0740367,704221.3899834,699542.0569192,636832.0888026,652683.7822036,728589.7830306,664104.7232964,697727.7804871,701055.276843,676839.5951679,616004.7804639,620917.153256,592967.2870863,613028.1926155,734668.0277938,675341.7518413,655325.9402284,562379.0261512,688108.7461458,688736.3756099,712261.0907639,716007.4582116,620058.7091492,622491.77034
3,617941.4638275,599989.9546759,629007.2232035,626404.456779,647655.8921391,723385.9265051,675614.3396625,668655.5591279,611415.0965843,618395.8480028,696331.1285912,633129.1137668,671169.8209588,669515.0559166,644125.2714094,588279.9231032,588621.4035484,559518.0154568,581651.9016058,700317.5288116,639008.4207137,625681.409565,528179.8667758,650205.2557563,656044.7929781,673431.0162496,676430.2666339,583882.9477738,580845.1691428
4,541648.742954,515147.2712862,542083.0465568,531166.8602304,559046.6240513,647363.8063219,574873.2358343,579112.616959,513607.4266947,538691.2704094,613216.4241983,546936.9811102,557178.0236603,577786.8555592,558450.6971087,496469.1771746,513177.6008308,465398.5345837,501844.8090365,616401.7117281,558332.0498907,559305.0833925,470170.0012137,579856.7362596,564115.7508254,617288.7521825,612105.44206,514740.4441955,551124.0624926
5,543973.5300021,515223.8469575,548969.6527439,532167.0786221,567609.5648522,655169.6228928,585889.4412368,578120.9654679,506573.0112243,559910.8219024,620591.9316409,540252.7883091,537823.382484,574127.5679247,559025.604966,497779.6777903,524296.2075717,464266.0735467,507366.1382127,622937.227536,560969.1271835,574213.3862815,493579.6755092,589272.9595847,566880.4004655,630621.8350693,622455.2612087,520293.7414288,565189.2423762
6,518777.4197182,502784.207844,520778.0464497,512661.2396852,541456.2876381,595438.6742768,551733.40268,545596.4108548,490562.3593574,529107.3171551,580391.7251542,519359.8607953,517027.6470813,547895.7765874,535543.4155434,485898.095575,504106.717662,457944.940131,491680.1222458,574068.9150483,535716.7449613,540926.0364588,482433.5840476,550227.5222888,537462.9662538,575164.925969,574751.049312,497377.820726,516276.4935852
7,nan,nan,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
8,464427.7094614,452106.2527624,479177.9240651,472003.1513189,475030.0555048,494689.6596638,484951.2500875,481234.3165813,458091.372616,477326.7100632,495091.221929,466879.7844951,474225.4220227,483239.8528196,478984.0141132,443182.3503112,447859.1645054,425266.8048189,442026.8166901,496975.3428141,475435.0008578,466223.9115902,421728.0086686,480441.9569358,474693.1100529,490935.011263,492416.9823168,450424.4006474,459895.3510327
9,449426.6174426,435766.7225217,448101.6942458,442508.685932,444601.4398474,457110.9116154,448479.0281741,448947.7672787,431702.2654647,443772.9524207,459437.1170477,445014.0384333,448141.8063998,451634.5213356,452139.2440872,430430.6976138,429589.1274555,416782.8267106,424209.2264813,462030.3017417,449773.5112221,443692.2592127,408446.0212016,452457.041489,448412.4847574,457538.8434472,452196.4582625,428932.2565709,429461.5885348
10,408336.0222087,393518.4695012,408906.3535022,402747.0189166,408915.7644389,427802.2827725,409902.9664205,414467.6861458,397409.3431834,405854.447391,422334.7479327,409564.6386967,420465.8967051,424711.0641045,418901.0881535,392954.9553056,394325.9889396,376541.366852,389407.8359836,426693.1656981,417775.6019308,411662.6585237,373542.7274772,414453.8741825,408413.9805051,421480.9981733,419071.7003828,389190.5860983,398507.3260689
