 No    Mag        X         Y

 0001   6.49    -78.22     73.75
 0002   8.23     42.48     23.80
 0003   9.33    -57.09    -12.91
 0004   9.49      3.75     20.07
 0005   9.57     -6.04    -20.91
 0006   9.63     -4.03      4.46
 0007   9.68     -6.45     13.07
 0008   9.73    -26.90     -0.76
 0009   9.76      9.05     21.48
 0010   9.88     13.93     51.13
 0011   9.99    -27.33     33.63
 0012  10.02     16.46     -1.79
 0013  10.27     41.92     59.13
 0014  10.29     -9.59     22.87
 0015  10.37     53.71     61.26
 0016  10.40     33.69     37.55
 0017  10.57     -0.71    -25.46
 0018  10.63     40.48     38.17
 0019  10.63      3.69      0.13
 0020  10.67    -29.19     25.13
 0021  10.71     16.67     51.79
 0022  10.73      8.52    -26.48
 0023  10.87      4.73     34.41
 0024  10.88     -2.58     20.83
 0025  11.12     10.15     44.40
 0026  11.21     10.54     33.10
 0027  11.25      4.75      5.88
 0028  11.41    -32.75      5.63
 0029  11.78    -42.80     47.96
 0030  12.04     41.84     17.65
 0031  12.26    -37.21     45.20
 0032  12.45    -46.98    -14.43
 0033  12.88    -27.62      5.51
 0034  13.14     -5.01     14.03
 0035  13.64    -34.83     28.02
 0036  13.81    -23.62      6.86
 0037  14.29     11.68     -5.41
 0038  14.31    -57.66     -1.63
 0039  14.47     -7.86      0.31
 0040  14.56    -14.71      8.04
 0041  14.79    -16.95     32.97
 0042  15.28    -46.55    -26.07
 0043  15.59      3.12     30.13
 0044   9.21    109.47    -76.43
 0045   9.22     98.46    -89.80
 0046   9.42     10.97      8.69
 0047   9.48     15.86    -12.74
 0048   9.56    -43.93    -44.63
 0049   9.68    -19.78    -43.38
 0050   9.73    -82.95      2.94
 0051   9.86     55.55    -44.18
 0052   9.69    -16.44     58.26
 0053   9.84     16.21    -26.50
 0054   9.89     32.18     17.09
 0055   9.80     79.70     34.21
 0056   9.91     61.80     -0.91
 0057   9.83     92.00     30.20
 0058  10.15   -100.23    -23.27
 0059  10.32     26.19      9.14
 0060  10.26    -16.24     -9.37
 0061  10.34      7.69    -15.31
 0062  10.38     29.19     11.45
 0063  10.34    -53.42     -3.34
 0064  10.47      1.32     -7.50
 0065  10.48    -25.06    -26.88
 0066  10.39    -28.72    -22.32
 0067  10.77     11.87      5.43
 0068  10.84    -38.80     -9.25
 0069  10.90    -46.98     51.69
 0070  10.84    -35.97    -43.00
 0071  10.98     20.84     -4.56
 0072  10.96      2.44    -12.39
 0073  10.90    -98.66     12.80
 0074  11.06    -12.45     14.53
 0075  11.08    -36.44    -75.77
 0076  11.20     36.88    -12.50
 0077  11.26     -2.64      0.76
 0078  11.38   -109.23    -47.31
 0079  11.43    -12.28    -13.40
